Numeric ID	Display Name	Exercise	Description	Video URL	Filmed	Uploaded	Edited	Person Completing	
"1"	Foam Roll - Inner Thigh (Adductor)	SMR - Adductors	On your stomach, place the roller on the inside of your thigh. Slowly roll the inner thigh to find a tender spot. Hold for 30 seconds. Repeat on the other side.	https://www.youtube.com/watch?v=vkVg1dEmjwE	Y	Y		Ivonna (floor) 	
"2"	Foam Roll - Calves	SMR - Calves	Place roller under the mid-calf. Cross the opposite leg over the top of the other. Slowly roll calf to find a tender spot. Hold for 30 seconds. Repeat on the other side.	https://www.youtube.com/watch?v=w-e7YIpiok0	Y	Y		Ivonna (floor) 	
"3"	Foam Roll - Hamstrings	SMR - Hamstrings	Place the foam roller under your hamstring, just before the glute. Roll your hamstring area to find a tender spot. Hold for 30 seconds. Repeat on the other side.	https://www.youtube.com/watch?v=wQ6uUuBWCbw	Y	Y		Ivonna (floor) 	
"4"	Foam Roll - Outer Thigh (IT Band)	SMR - IT-Band	Lie on one side with the foam roller just in front of the hip. Cross the top leg over the lower leg, placing that foot on the floor. Slowly roll from the hip joint down toward the knee to find the tender spot. Hold for 30 seconds. Switch sides and repeat.	https://www.youtube.com/watch?v=asigNf1sh-k	Y	Y		Ivonna (floor) 	
"5"	Foam Roll - Upper Thigh	SMR - Tensor Fascia Latae		https://www.youtube.com/watch?v=asigNf1sh-k					
"6"	Standing Hip Stretch	Hip Flexor Static Stretch (Standing)	Stand with one leg in front of the other, with the front leg slightly bent. Point the toes of your back foot inward. Raise the arm that is on the same side as your back leg and shift your body forward, reaching over your head until a stretch is felt in front of your pelvis. Hold the side stretch and then rotate backwards. Hold for 30 seconds. Switch sides and repeat.	https://www.youtube.com/watch?v=YXcz_ENOMWs	Y	Y		Ivonna (standing)	
"7"	Standing Calf Stretch	Calves Static Stretch	Stand about three feet from a wall and put one foot behind you ensuring your toes are facing forward. Keep your heel on the ground and lean forward with your back knee straight. Hold for 30 seconds. Switch sides and repeat.	https://www.youtube.com/watch?v=URK3EXjTUP4	Y	Y		Maria or Chris	
"8"	Standing Inner Thigh (Adductor) Stretch	Adductors Static Stretch	Begin in a wide-leg stance with toes pointing straight. Bend one leg and shift the hips toward that side. Hold for 30 seconds. Return to the starting position and repeat on the other side.	https://www.youtube.com/watch?v=Qmq5fGSrAmg	Y	Y		Chris	
"9"	Lying Hamstring Stretch	Hamstrings Static Stretch 	Begin on your back with your legs on the floor. Bring one knee towards your chest and slowly straighten your leg so your toes point up. Keep a firm hold on the back of your leg as your pull it toward you to deepen the stretch. Breathe deeply and hold for 30 seconds. Repeat on opposite side.	https://www.youtube.com/watch?v=z73l6oZUniQ	Y	Y		Ivonna (floor) 	
"10"	Hip Bridge - Double Leg	Hip Bridge (double leg)	Begin on your back with your knees bent and your feet flat on the floor, shoulder-width apart. Squeeze your glutes and lift your hips off the floor to a flat-back position. Hold for 1-2 seconds, then relax and bring your hips back to the ground. Repeat for recommended reps.	https://www.youtube.com/watch?v=SKOMwg1JLrU	Y	Y		Maria	
"11"	Hip Bridge - Single Leg	Hip Bridge (single leg)	Begin on your back with your knees bent and your feet flat on the floor, shoulder-width apart. Lift and extend one foot in the air. Contract your glutes and lift your hips off the floor to a flat-back position, lift  Hold for 1-2 seconds and then relax, bringing your hips back to the ground but keeping your leg in the air. Repeat for recommended reps. Switch sides and repeat.	https://www.youtube.com/watch?v=3NXv0Nany-Q					
"12"	Hip Bridge on Unstable Surface - Double Leg	Hip Bridge (double leg) on unstable surface	Begin on your back with your knees bent and your feet flat on a pillow, shoulder-width apart. Contract your abdomen, allowing your lower back to be flush with the ground. Squeeze your glutes and lift your hips off the floor to a flat-back position. Hold for 1-2 seconds, then relax and bring your hips back to the ground. Repeat for recommended reps.	https://www.youtube.com/watch?v=jgnBh3xubt8					
"13"	Hip Bridge on Unstable Surface - Single Leg	Hip Bridge (single leg) on unstable surface	Begin on your back with your knees bent and your feet flat on a pillow, shoulder-width apart. Lift and extend one foot in the air. Contract your glutes and lift your hips off the floor to a flat-back position, lift and hold for 1-2 seconds and then relax, bringing your hips back to the ground but keeping your leg in the air. Repeat for recommended reps. Switch sides and repeat.	https://www.youtube.com/watch?v=ATWk7ZXeJO8					
"14"	Single Leg Balance Reach - Multiple Directions	Single Leg Balance (multiplanar) with Reach	Stand with your hands on your hips and feet shoulder-width a part. Engage your core and glutes as you take one leg and reach forward, tapping your foot on the ground in front of you. Move back to the starting position. Next, reach out to the side with the same leg, maintaining the alignment of your other knee and continuing to engage your core and glutes. Move back to the starting position. Finish by reaching behind your body with the same leg. Repeat for the recommended reps, switch sides and repeat.	https://www.youtube.com/watch?v=9s2yFvd09K4					
"15"	Double Leg Squat (Bodyweight)	Double Leg Squat (Bodyweight)	Stand with your feet shoulder width apart and toes pointing forward and arms over your head. Bend your knees and sit back with your hips as if into a chair. As you squat, maintain balance by looking forward and keeping your chest up. Straighten up once maximum depth is reached. Repeat for recommended reps.	https://www.youtube.com/watch?v=C_VtOYc6j5c	Y	Y		Chris	
"16"	High Knees	High Knees							
"17"	Back Pedal	Back Pedal							
"18"	Side Shuffle	Side Shuffle							
"19"	A-Skips	A-Skips							
"20"	Carioca	Carioca							
"21"									
"22"									
"23"									
"24"									
"25"		Gastrocnemius Static Stretch		-					
"26"		Soleus Static Stretch		-					
"27"									
"28"	Standing Outer Hip (TFL) Stretch	Standing TFL Static Stretch	Begin in a standing position with your toes pointing forward. Turn one foot to the outisde. With the opposite foot step forward into a lunge position, keeping your hips facing the front. Place your hands on your hips for balance. Hold for 30 seconds. Switch sides and repeat.	https://www.youtube.com/watch?v=ClJL9Kn5DHw	Y	Y		Chris	
"29"	Ankle Mobility (Toes Up)	Ankle Dorsiflexion		https://www.youtube.com/watch?v=xyMnUruGwuo					
"30"	Ankle Mobility (Toes Down)	Ankle Plantarflexion		https://www.youtube.com/watch?v=he_jYIGisMM					
"31"	Single Leg Calf Raise 	Single - Leg Calf Raise	Begin on an elevated surface (i.e. stair/step) with heels hanging off. Lift one leg off the ground (place hands on nearby wall for support). Push onto toes of the other leg and hold for 1-2 seconds. Lower heel back down beyond level of surface to stretch the calf. Repeat with opposite leg. 	https://www.youtube.com/watch?v=Tla2ScHQgu0	Y	Y		Chris	
"32"	Lying Knee Flexion and Hip Internal Rotation	Knee Flexion with Hip Internally Rotated	Begin on your back with one knee bent and the other leg on the floor. Wrap a towel or band around your shin and grasp the ends. Turn your toes in and bring your knee in toward your midline. Pull to slide your foot as close to you as possible, maintaining the position of your knee. Hold for 2-3 seconds, then relax and let your foot slide back to starting position. Repeat for recommended number of reps then complete on the other side.	https://www.youtube.com/watch?v=ToOjPbDb6wQ	Y	Y		Maria	
"33"		Multiplanar Single-Leg Balance Reach (Firm Surface)							
"34"	Standing Leg Extension (Abductors)	Hip Abduction		https://www.youtube.com/watch?v=k0oEjtPIsXI					
"35"	Standing Leg Extension (Glutes)	Hip Extension		https://www.youtube.com/watch?v=ogFC7XVkYuY					
"36"		Ball Squats							
"37"		Step-Ups							
"38"		Lunges							
"39"		Single-Leg Squat							
"40"		Wall Jumps							
"41"		Tuck Jump							
"42"		Long Jump with Stabilization							
"43"		Single-Leg Hop with Stabilization							
"44"	Foam Roll - Glutes	SMR - Piriformis	Sit with your buttocks on top of a foam roller. Cross one leg over the other so that the ankle is over the knee. Shift your weight to the same side as the crossed leg, rolling over the buttocks until you feel tension in your upper glute. You may assist the stretch by using one hand to pull the bent knee towards your chest. Holdfor 30 seconds. Switch sides and repeat.	https://www.youtube.com/watch?v=djNRSC295-A	Y	Y		Maria	
"45"									
"46"	Lying Crossover Glute Stretch	Supine Piriformis Static Stretch	Begin on the floor with both knees bent, feet flat on the floor. Bring your ankle to the opposite knee to assume a "Figure-4" position. Pull the leg still on the ground to your chest until the stretch is felt through the upper hamstring and glute. Hold stretch for 30 seconds. Repeat with other leg.	https://www.youtube.com/watch?v=fR7020ZswtY	Y	Y		Ivonna (floor) 	
"47"	Standing Banded Hip Stretch	Resisted Hip Adduction and Internal Rotation		https://www.youtube.com/watch?v=Wxbr3Ip8nM8					
"48"	Foam Roll - Quads	SMR Quadriceps	Begin on your stomach with the foamroll beneath one thigh. Keeping that foot off of the ground, shift as much weight onto the leg to be stretched as is tolerable, roll the length of the muscle from the knee to the hip, holding points of tension for 30 seconds. Switch sides and repeat.	https://www.youtube.com/watch?v=ERTVBjwgPS4	Y	Y		Maria	
"49"	Lunging Hip Stretch	Kneeling Hip Flexor Static Stretch	Begin in a lunge with your back knee and your front foot on the floor. Shift your weight forward, keeping your hips facing the front until you feel a stretch in your hip and hold for 30 seconds. Switch sides and repeat.	https://www.youtube.com/watch?v=XbN3TvLEm2A	Y	Y		Maria	make sure front leg is  extended out a bit  more to emphasize stretch 
"50"	Bird-dog (Opposite Arm/Leg Raise)	Quadruped Arm/Opposite Leg Raise	Begin on your hands and knees with your back flat. At the same time, raise the right arm and left leg until the extended arm and leg are horizontal. Pause briefly before lowering the arm and leg in the same path as the upward movement. Complete the assigned reps and repeat with the other side.	https://www.youtube.com/watch?v=wiFNA3sqjCA	Y	Y			
"51"	Floor Cobra (Superman) Stretch	Floor Prone Cobra	Begin on your stomach with your arms by your side and palms flat on the floor. Keeping your neck in a neutral position lift up your shoulders, pinching your shoulder blades together and chest off of the floor. Release back down to the floor. Repeat for recommended number of reps.	https://www.youtube.com/watch?v=pNIC1PEp3eU	Y	Y			
"52"	Ball Squats with Overheard Press	Ball Squats with Overheard Press							
"53"	Toe Scrunches	Towel scrunches (Intrinsic Foot Muscles)	Begin with your foot resting on a towel, flat on the floor. Draw the towel towards you by scrunching your toes. Keep the heel in contact with the floor throughout. Switch sides and repeat.	https://www.youtube.com/watch?v=-BBQO_9_YMU	Y	Y		Ivonna	
"54"	Foam Roll - Hip Flexor	SMR - Hip Flexor	Begin on your stomach and place a ball or roller beneath one hip. Keeping that foot off of the ground, shift as much weight onto the leg to be rolled as is tolerable, roll along the hip region, holding points of tension for 30 seconds. Switch sides and repeat.	https://www.youtube.com/watch?v=bdbsy5vFz10	Y	Y		Maria	
"55"	Foam Roll - Lats	SMR - Latissimus Dorsi	Lie on one side with the arm closest to the ground over your head with thumb facing upwards. Place the foam roller under the arm. Slowly roll down your side back and forth to find the tender spot. Hold for 30 seconds. Repeat on other side.	https://www.youtube.com/watch?v=1GaR-a9TWYM	Y	Y		Maria	
"56"	Seated Spinal Twist Stretch	Erector Spinae Static Stretch	Begin seated with legs extended in front of you. Cross one leg over the other and place that foot on the other side of the extended leg. Extend your arm and place your elbow on the outside of the bent knee. Place your other hand on the floor for support. Move into a twist and push your elbow into your knee to deepen the twist. Hold for 30 seconds, then repeat the stretch on the other side.	https://www.youtube.com/watch?v=yeorC_eJofs	Y	Y	Y		
"57"	Kneeling One-Armed Lat Stretch	Latissimus Dorsi Static Stretch	Kneel in front of a chair, ball, or foam roller and place one arm on top of the object with your thumb pointed up toward the ceiling. Keep the other hand on the ground. Lower your hips back toward your heels until a stretch is felt alongside the torso. Hold for 30 seconds. Switch sides and repeat.	https://www.youtube.com/watch?v=wzyB34izUNI	Y	Y		Maria	
"58"		B-Skips							
"59"	Ankle Stretch and Hold (Towards You)	Isometric Ankle Dorsiflexion							
"60"	Ankle Stretch and Hold (Away From You)	Isometric Ankle Plantarflexion							
"61"	Ankle Stretch and Hold (Toes In)	Isometric Ankle Inversion							
"62"	Ankle Stretch and Hold (Toes Out)	Isometric Ankle Eversion							
"63"	Ankle Mobility (Toes In)	Ankle Inversion							
"64"	Ankle Mobility (Toes Out)	Ankle Eversion							
"65"	Ankle Mobility (Up and Out)	Ankle Dorsiflexion and Eversion							
"66"	Ankle Mobility (Down and In)	Ankle Plantarflexion and Inversion							
"67"	Double Leg Calf Raise	Double Leg Calf Raise	Stand with both feet on the edge of a step. The balls of your feet and toes should be the only parts of your foot on the platform. Lift your heels by pressing up through your toes and contracting your calf muscles. Slowly lower your heels to the neutral starting position.	https://www.youtube.com/watch?v=7ti1VEuyyBQ	Y	Y		Chris	
"68"	Double Leg (Up) - Single Leg (Down) Calf Raise	Double Leg (up); Single leg (down) calf raise	Begin on an elevated surface (ie. stair/step) with heels hanging off. Push onto toes with both legs, then lift one leg off the ground. With control, lower the other heel back down to the level of the surface. Repeat with opposite leg for recommended number of reps.	https://www.youtube.com/watch?v=-yopXxZl3fM					
"69"		Multiplanar Single-Leg Balance Reach (Uneven Surface)							
"70"		Triple-hop to stabilization (distance)							
