Numeric ID	Display Name	Exercise	Description
1	Foam Roll - Inner Thigh (Adductor)	SMR - Adductors	On your stomach, place a foam roller on the inside of your thigh. Slowly roll the length of your inner thigh. If you find a tender spot, hold for 30 seconds. Repeat on the other leg.
2	Foam Roll - Calves	SMR - Calves	Place a foam roller under the mid-calf. Cross the opposite leg over. Slowly roll the length of your calf. If you find a tender spot, hold for 30 seconds. Repeat on the other leg.
3	Foam Roll - Hamstrings	SMR - Hamstrings	Sit on the ground with a foam roller under your hamstring, just before the glute. Roll the length of your hamstring. If you find a tender spot, hold for 30 seconds. Repeat on the other leg.
4	Foam Roll - Outer Thigh (IT Band)	SMR - IT-Band	Lie on one side with a foam roller under your thigh. Cross the top leg over the lower leg, placing that foot on the floor. Slowly roll from the hip joint down toward the knee. If you find a tender spot, hold for 30 seconds. Switch sides and repeat.
5			
6	Standing Hip Stretch	Hip Flexor Static Stretch (Standing)	Stand with one leg in front of the other. Raise the arm that is on the same side as your back leg, engaging your core as you lean backward until a stretch is felt in your hip. Rotate the shoulder of your raised arm back to deepen the stretch. Hold for 30 seconds. Switch sides and repeat.
7	Standing Calf Stretch	Calves Static Stretch	Stand about three feet from a wall and put one foot behind you, ensuring your toes are facing forward. Keep your heel on the ground and place your hands on the wall, bending your front leg and keeping your back leg straight. Hold for 30 seconds. Switch sides and repeat.
8	Standing Inner Thigh (Adductor) Stretch	Adductors Static Stretch	Begin in a wide-leg stance with toes pointing straight. Bend one leg and shift the hips toward that side. Hold for 30 seconds. Return to the starting position and repeat on the other side.
9	Lying Hamstring Stretch	Hamstrings Static Stretch 	Begin on your back with your legs on the floor. Bring one knee towards your chest and slowly straighten your lower leg. Keep a firm hold on the back of your leg as your pull it toward you to deepen the stretch. Breathe deeply and hold for 30 seconds. Repeat on opposite side.
10	Hip Bridge - Double Leg	Hip Bridge (double leg)	Begin on your back with your knees bent and your feet flat on the floor, shoulder-width apart. Squeeze your glutes and lift your hips off the floor to a flat-back position. Hold for 1-2 seconds, then relax and bring your hips back to the ground. Repeat for recommended reps.
11	Hip Bridge - Single Leg	Hip Bridge (single leg)	Begin on your back with your knees bent and your feet flat on the floor, shoulder-width apart. Lift and extend one foot in the air. Contract your glutes and lift your hips off the floor to a flat-back position, lift  Hold for 1-2 seconds and then relax, bringing your hips back to the ground but keeping your leg in the air. Repeat for recommended reps. Switch sides and repeat.
12	Hip Bridge on Unstable Surface - Double Leg	Hip Bridge (double leg) on unstable surface	Begin on your back with your knees bent and your feet flat on a pillow, shoulder-width apart. Contract your abdomen, allowing your lower back to be flush with the ground. Squeeze your glutes and lift your hips off the floor to a flat-back position. Hold for 1-2 seconds, then relax and bring your hips back to the ground. Repeat for recommended reps.
