Numeric ID	SOFlete ID	Display Name	Exercise	Descriptions	PHASE	Muscle Group / Joint	Muscle	Inhibit	Static Lengthen	Active Lengthen	Dynamic Lengthen	Activate	Static Integrate	Dynamic Integrate	DOSAGE	min Sets	max Sets	min Reps	max Reps	Bilateral (Y/N)	Progression Interval (e.g. 2 reps)	Progression Cadence (e.g. 2 exposures)	Minimum Exposures to Maintain Stage	Unit of Measure for Reps	Rest Between Sets (seconds)	Time Per Set (seconds)	Time Per Rep (seconds)	Progresses To	MISC.	Technical Difficulty	Equipment Required	Present in Fathom Mapping Logic	Present in SOFlete Mapping Logic
id	soflete_id	display_name	name	description	phase	muscle_group_joint	muscle	inhibit	static_lengthen	active_lengthen	dynamic_lengthen	activate	static_integrate	dynamic_integrate	dosage	min_sets	max_sets	min_reps	max_reps	bilateral	progression_intervals	exposure_target	exposure_minimum	unit_of_measure	rest_between_sets	time_per_set	time_per_rep	progress_to	misc	technical_difficulty	equipment_required	present_in_fathom_mapping_logic	present_in_soflete_mapping_logic
1		Foam Roll - Inner Thigh	Foam Roller - Adductors	On your stomach, slowly foam roll the length of your inner thigh. If you find a tender spot, hold for 30 seconds. Don’t have a foam roller? You can use a tennis ball or water bottle. 		{"groin": 5}		x								1	2	30	30	Y	0			seconds	0	30				Beginner	Foam Roller	x	
2		Foam Roll - Calves	Foam Roller - Calves	Slowly roll the length of your calf. If you find a tender spot, hold for 30 seconds. Don’t have a foam roller? You can use a tennis ball or water bottle. 		{"calves": 16,  "achilles": 17}		x								1	2	30	30	Y	0			seconds	0	30				Beginner	Foam Roller	x	
3		Foam Roll - Hamstrings	Foam Roller - Hamstrings	Place foam roller just before the glute & roll the length of your hamstring. If you find a tender spot, hold for 30 seconds. Don’t have a foam roller? You can use a tennis ball or water bottle. 		{"hamstring": 15}		x								1	2	30	30	Y	0			seconds	0	30				Beginner	Foam Roller	x	
4		Foam Roll - Outer Thigh	Foam Roller - IT-Band	On your side, slowly foam roll from the outer hip joint down toward the knee. If you find a tender spot, hold for 30 seconds. Don’t have a foam roller? You can use a tennis ball or water bottle.		{"it_band": 11}		x								1	2	30	30	Y	0			seconds	0	30				Beginner	Foam Roller	x	
5																																	
6		Standing Hip Stretch	Hip Flexor Static Stretch (Standing)	Stand with one leg in front of the other. Raise the arm that is on the same side as your back leg, engaging your core as you lean backward until a stretch is felt in your hip. Rotate the shoulder of your raised arm back to deepen the stretch. 		{"hip": 4}			x							1	2	30	30	Y	0			seconds	0	30				Beginner	None	x	
7		Standing Calf Stretch	Calves Static Stretch	Stand about three feet from a wall and put one foot behind you, ensuring your toes are facing forward. Keep your heel on the ground and place your hands on the wall, bending your front leg and keeping your back leg straight.		{"calves": 16,  "achilles": 17}			x							1	2	30	30	Y	0			seconds	0	30				Beginner	None	x	
8		Standing Inner Thigh Stretch	Adductors Static Stretch	Begin in a wide-leg stance with toes pointing straight. Bend one leg and shift the hips toward that side.		{"groin": 5}			x							1	2	30	30	Y	0			seconds	0	30				Beginner	None	x	
9		Lying Hamstring Stretch	Hamstrings Static Stretch 	Begin on your back with your legs on the floor. Bring one knee towards your chest and slowly straighten your lower leg. Keep a firm hold on the back of your leg as your pull it toward you to deepen the stretch.		{"hamstring": 15}			x							1	2	30	30	Y	0	5	3	seconds	0	30		121		Beginner	None	x	
10		Hip Bridge	Hip Bridge (double leg)			Glutes; Quads  						x				1	3	10	15	N	2	8	5	count	0		2	12		Beginner	None	x	
11		Single Leg Hip Bridge	Hip Bridge (single leg)		activate exercise with to high of complexity to assign outside of a progression											1	3	10	12	Y	2	8	5	count	0		2	13		Beginner	None		
12		Hip Bridge on Unstable Surface	Hip Bridge (double leg) on unstable surface		activate exercise with to high of complexity to assign outside of a progression											1	3	10	12	N	2	8	5	count	0		2	11		Intermediate	Pillow/Half Bosu Ball		
13		Single Leg Hip Bridge on Unstable Surface	Hip Bridge (single leg) on unstable surface		activate exercise with to high of complexity to assign outside of a progression											1	3	10	12	Y	2	8	5	count	0		2	120		Intermediate	Pillow/Half Bosu Ball		
14		Single Leg Balance Reach	Single Leg Balance (multiplanar) with Reach			General; Lower General 							s			1	3	10	15	Y	2			count	0		5			Beginner	None	x	
15		Double Leg Squat (Bodyweight)	Double Leg Squat (Bodyweight)			General; Lower General 							s			1	3	10	15	N	2			count	0		2	39		Beginner	None	x	
16		High Knees	High Knees										x			1	1	10	10	N	0			seconds	0	10				Beginner	Field; Open Space		
17		Back Pedal	Back Pedal										x			1	1	10	10	N	0			seconds	0	10				Beginner	Field; Open Space		
