Numeric ID,Display Name,Exercise,PHASE,Muscle Group / Joint,Inhibit,Lengthen,Activate,Integrate,DOSAGE,min Sets,max Sets,min Reps,max Reps,Bilateral (Y/N),Progression Interval (e.g. 2 reps),Progression Cadence (e.g. 2 exposures),Minimum Exposures to Maintain Stage,Unit of Measure for Reps,Rest Between Sets (seconds),Time Per Set (seconds),Time Per Rep (seconds),Progresses To,,Technical Difficulty,Equipment required,Present in Mapping Logic,Warm-Up,Dynamic Movement,Stability Work,Optional Drills
139,Walking Hamstring Scoops,Walking Hamstring Scoops,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,x,,,
140,Knee Hug to Lunge with Reach,Knee Hug to Lunge with Reach,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,x,,,
141,Walking Superman,Walking Superman,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,x,,,
142,Hurdle Walks (In),Hurdle Walks (In),,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,x,,,
143,Hurdle Walks (Out),Hurdle Walks (Out),,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,x,,,
144,Iron Cross,Iron Cross,,,,,,,,1,1,10,10,Y,0,,,count,0,,3,,,Beginner,none,x,x,,,
145,Mini Skips,Mini Skips,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,,x,,
146,Skips for Height,Skips for Height,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,,x,,
147,Butt Kicks,Butt Kicks,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,,x,,
148,Lateral Shuffles,Lateral Shuffles,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,,x,,
149,Carioca,Carioca,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,,x,,
150,Backward Run,Backward Run,,,,,,,,1,1,12,12,Y,0,,,yards,0,30,,,,Beginner,none,x,,x,,
