Compound Actions,,,,,per action,,,,,Action,,,,SubAction,,,"per sub action (if empty, use values from sub action default)",,,,,,,,,,,,
compound_action_id,compound_action_name,description,training_type,,eligible_external_resistance,resistance,speed,displacement,,id,description,body_position,,sub_action_id,sub_action_name,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution,
,Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Supine Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prone Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sidelying Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quadruped Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Mountain Climbers,,power_drills_plyometrics,,no_equipment,none,fast,,,1,,quadruped,,1201_a,mountain climber: knee to chest: leg,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,1201_b,mountain climber: extend legs: leg,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,1201_c,mountain climber: stabilizing,,,,,,,,,,,,,,
,Standing Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standing Upper Body Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Punch,,power_drills_plyometrics,,no_equipment,none,fast,,,1,,staggered_leg_standing,,2450_a,punch:out,,,,,,,,,,,,,,
,,,,,,,,,,1,Standing Stance,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,,,,,no_equipment,none,fast,,,2,,,,2450_b,punch:recoil,,,,,,,,,,,,,,
,,,,,,,,,,2,Standing Stance,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,Weighted Full Body Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Single Arm Clean,,strength_action_bw,,single_dumbbell,low,mod,,,1,negative deadlift,double_leg_standing,,2901_c,Deadlift: negative:bar from hip to knee,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,1000.4,"standing, moving single arm with weight in sagittal plane in front",,,,,,,,,,,,,,
