Compound Actions,,,,,per action,,,,Action,,,,SubAction,,,"per sub action (if empty, use values from sub action default)",,,,,,,,,,,,
compound_action_id,compound_action_name,description,training_type,,eligible_external_resistance,resistance,speed,,id,description,body_position,,sub_action_id,sub_action_name,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution,
,Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Supine Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,crunch,,strength_core,,no_equipment,none,mod,,1,,supine,,1100_a,crunch:positive,,,,,,,,,,,,,,
,,,,,no_equipment,none,mod,,2,,supine,,1100_b,crunch:negative,,,,,,,,,,,,,,
101,sit up,,strength_core,,no_equipment,none,mod,,1,,supine,,1100.1_a,situp:positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,1100.1_c,situp:stance,,,,,,,,,,,,,,
,,,,,no_equipment,none,mod,,2,,supine,,1100.1_b,situp:negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,1100.1_c,situp:stance,,,,,,,,,,,,,,
102,rotational sit up,,strength_core,,no_equipment,none,mod,,1,,supine,,1102_a,rotational situp:positive,,,,,,,,,,,,,,
,,,,,no_equipment,none,mod,,2,,supine,,1102_b,rotational situp:negative,,,,,,,,,,,,,,
110,Glute Bridge,,strength_core,,no_equipment,none,mod,,1,,supine,,1103_a,glute bridge: positive,,,,,,,,,,,,,,
,,,,,no_equipment,none,mod,,1,,supine,,1103_c,glute bridge: stance,,,,,,,,,,,,,,
,,,,,no_equipment,none,mod,,2,,supine,,1103_b,glute bridge: negative,,,,,,,,,,,,,,
,,,,,no_equipment,none,mod,,2,,supine,,1103_c,glute bridge: stance,,,,,,,,,,,,,,
111,Single Leg Glute Bridge,,strength_core,,no_equipment,none,mod,,1,,supine,,1103_a,glute bridge: positive,,,,,single_leg,,unilateral_alternating,0,1,1,1,70.2,"100,100",
,,,,,no_equipment,none,mod,,1,,supine,,1103_c,glute bridge: stance,,,,,single_leg,,bilateral,0,1,1,1,70.2,"50,50",
,,,,,no_equipment,none,mod,,2,,supine,,1103_b,glute bridge: negative,,,,,single_leg,,unilateral_alternating,0,1,1,1,70.2,"100,100",
,,,,,no_equipment,none,mod,,2,,supine,,1103_c,glute bridge: stance,,,,,single_leg,,bilateral,0,1,1,1,70.2,"50,50",
112,Glute Bridge March,,strength_core,,no_equipment,none,mod,,1,,supine,,1008,glute bridge,,,,,single_leg,,unilateral_alternating,0,1,1,1,70.2,"100,100",
