Trigger Enum	Trend Type	Triggers	Goal Names	Length of Impact	Data Source to inform "All Good"	Insight Priority within Plans	Insight Priority within Trend Type	INSIGHTS IN PLANS	Plans Priority Styling	Plans Content to Pass	Present In Plans	Parent Enum	NEW, FIRST TIME Parent - Title	NEW, FIRST TIME Parent - Body	NEW, FIRST TIME Child - Title	NEW, FIRST TIME Child - Body		NEW, SUBSEQUENT Parent - Title	NEW, SUBSEQUENT Parent - Body	NEW, SUBSEQUENT Child - Title	NEW, SUBSEQUENT Child - Body		CLEARED Title	CLEARED Parent - Body	CLEARED Child - Body	INSIGHTS IN TRENDS	Trends Priority Styling	Trends Content to Pass	Present in Trends	NEW Title	NEW Body		ONGOING Title	ONGOING Body		POS CHANGE Title	POS CHANGE Body	NEG CHANGE Title	NEG CHANGE Body		Trends CLEARED Title	Trends CLEARED Body	PLOTS	Unit of Aggregation	Visualization Type	Visualization Range	Overlay Variable	Plots Title	PLANS	Input	Heat	Warmup	Cooldown / Active Recovery	Active Rest	Ice	CWI	Increase Default Recommended Comp. of Activity
201	Stress	No triggers flagged based on training volume					7		0		0																0		1	All Good!	We haven't noticed any sign of increased recovery need. We'll let you know if we see any meaningful patterns or trends.		All Good!	We haven't noticed any sign of increased recovery need. We'll let you know if we see any meaningful patterns or trends.										Aggregate the Session(s) to per day	1	7	relative load per day (no overlay)	Your Training History									
0	Stress	High Load	Recover from {sport_name}	Single Day	training_volume	9	1		0	{goal}	1	3			Get the greatest gains from your training	So we added activities to {goal} 				Get the greatest gains from your training	So we added activities to {goal} 						0	{goal}	1	Get the greatest gains from your training	Make more positive- you worked hard, now recover to make the most of your training.		Get the greatest gains from your training	Make more positive- you worked hard, now recover to make the most of your training.										Aggregate the Session(s) to per day	2	7	Highlight high load days	Personal High Loads		Sport			x	x			
1	Stress	Sore (Pers >30d, Pers_2 > 30d)  + Logged High Load	Mitigate Effects of Imbalance	Single Day	soreness	11	4		0	{goal}	1	3	Your Workout May Aggrevate Symptoms 	So we added activities to {goal}	Your Workout May Aggrevate Symptoms 	So we added activities to {goal}		Your Workout May Aggrevate Symptoms 	So we added activities to {goal}	Your Workout May Aggrevate Symptoms 	So we added activities to {goal}						0		1	Your Workout May Aggrevate Symptoms 	Based on your training history, this workout may trigger [moderate/severe] Delayed Onset Muscle Soreness (DOMS) tomorrow.		Your Workout May Aggrevate Symptoms 	Based on your training history, this workout may trigger [moderate/severe] Delayed Onset Muscle Soreness (DOMS) tomorrow.										Unique per body part	3	7	Max Severity of Soreness reported per day for single body part	Movement Imbalances Causing Soreness in your {bodypart}		Body Part					x		
2	Stress	Pain (Acute, Pers, Pers_2) + Logged High Load	Mitigate Effects of Imbalance	Single Day	pain	11	2		0	{goal}	1	3	Your Workout May Aggrevate Symptoms 	So we added activities to {goal}	Your Workout May Aggrevate Symptoms 	So we added activities to {goal}		Your Workout May Aggrevate Symptoms 	So we added activities to {goal}	Your Workout May Aggrevate Symptoms 	So we added activities to {goal}						0		1	Your Workout May Aggrevate Symptoms 	Based on your training history, this workout may trigger [moderate/severe] Delayed Onset Muscle Soreness (DOMS) tomorrow.		Your Workout May Aggrevate Symptoms 	Based on your training history, this workout may trigger [moderate/severe] Delayed Onset Muscle Soreness (DOMS) tomorrow.										Unique per body part	3	7	Max Severity of Pain reported per day for single body part	Proactively Care Needed for Pain in your {bodypart}		Body Part					x		
202	Response	No triggers flagged based on soreness					18		0		0																0		1	All Good!	Your soreness reporting seems normal. We'll keep monitoring & will let you know if we see any signs of overreaching or underrecovery.		All Good!	Your soreness reporting seems normal. We'll keep monitoring & will let you know if we see any signs of overreaching or underrecovery.										per day, considering all body parts	3	7	Max Severity of Soreness reported per day for all body parts	Your Soreness History									
203	Response	No triggers flagged based on pain					17		0		0																0		1	All Good!	No pain-related findings. We'll keep monitoring & will let you know if we find any meaningful patterns or trends.		All Good!	No pain-related findings. We'll keep monitoring & will let you know if we find any meaningful patterns or trends.										per day, considering all body parts	3	7	Max Severity of Pain reported per day for all body parts	Your Pain History									
204	Response	No triggers flagged based on 3sensor					16		0		0																0		1	All Good!	You're biomechanical variables are in a normal range. We'll keep monitoring for any signs of fatigue or compensations. 		All Good!	You're biomechanical variables are in a normal range. We'll keep monitoring for any signs of fatigue or compensations. 										per session	6	7	Movement Quality max and min of session Severity category per day to define color per day	Your Biomechanical Response History									
8	Response	Overreaching as High Muscular Strain	Recover from {sport_name}	Mulitple Days	soreness	7	5		0	{goal}	1	0	Signs of Poor Adaptation	We added activities to {goal} because it seems your body is struggling to adequately adapt to your current training cadence. 	Signs of Overreaching	So we added activities to {goal} 		Signs of Poor Adaptation	We added activities to {goal} because it seems your body is struggling to adequately adapt to your current training cadence. 	Signs of Overreaching	So we added activities to {goal} 		Symptoms Cleared!	Your body's been adapting well to training & no-longer trending toward overreaching! We'll update your plan accordingly.	Kudos! You've overcome Overraching and are on track for sustainable training! We'll update your plan accordingly.		0		1	Signs of Overreaching	The ideal range for Muscular Strain is [range] and you're currently [number].  This quantifies how we'll you're recovering from training-induced muscle damage.		Signs of Overreaching	The ideal range for Muscular Strain is [range] and you're currently [number].  This quantifies how we'll you're recovering from training-induced muscle damage.		Signs of Overreaching [Improving/Worsening]					SAME AS PLANS INSIGHT TITLE	Your Muscular Strain is in a normal range. Great job focusing on recovery! 		Yes/No	5	7	Value of Muscular Strain per day Severity category per day to define color per day	Your Recovery Efficiency									x Active Rest Active Recovery
7	Response	Sore (Pers <30d, Pers_2 <30d)	Recover from {sport_name}	Mulitple Days	soreness	7	12		0	{goal}, {bodypart}	1	0	Signs of Poor Adaptation	We added activities to {goal} because it seems your body is struggling to adequately adapt to your current training cadence. 	Signs of {bodypart} Overstressing 	So we added activities to {goal} 		Signs of Poor Adaptation	We added activities to {goal} because it seems your body is struggling to adequately adapt to your current training cadence. 	Signs of {bodypart} Overstressing 	So we added activities to {goal} 		Symptoms Cleared!	Your body's been adapting well to training & no-longer trending toward overreaching! We'll update your plan accordingly.	Good work! Your no longer trending toward overreaching! We'll scale your recommnedations to reflect that!		0		1	Signs of {bodypart} Overstressing 	We've noticed a pattern of persistnat soreness which indicates that you may be trending toward Overreaching.		Signs of {bodypart} Overstressing 	We've noticed a pattern of persistnat soreness which indicates that you may be trending toward Overreaching.		{bodypart} Overstressing  [Improving/Worsening] 					SAME AS PLANS INSIGHT TITLE	Your soreness trends are all in a normal range. Great job managing your training & recovery!		Unique per body part	3	7	Max Severity of Soreness reported per day for single body part	Soreness Pattern in {bodypart}									x Active Rest Active Recovery
11	Response	Soreness Reported Today (as DOMs) Moderate DOMs = 1-2day, 2-3 severity Severe DOMs = 1-2day, 4-5 severity Minor DOMs = 2nd day, 1 severity  Mild Soreness = 1st day, 1 severity	Care for Soreness	Mulitple Days	soreness	8	6		0	{goal}	1				How Soreness Turns to Strength:	We provide {goal} activities to expedite tissue healing & retain range of motion. These become more personalized as we learn about you!				How Soreness Turns to Strength:	We provide {goal} activities to expedite tissue healing & retain range of motion. These become more personalized as we learn about you!						0	[expected number of days with soreness symptoms]	1	How Soreness Turns to Strength:	Without proactive recovery, this type of Delayed Onset Muscle Sorenes (DOMS) usually peaks at [severity] and lasts [number of days]. 		How Soreness Turns to Strength:	Without proactive recovery, this type of Delayed Onset Muscle Sorenes (DOMS) usually peaks at [severity] and lasts [number of days]. 										Yes/No	4	7	Max Severity of Soreness considering all 'overload' body part reported per day Projected number of days sore from today	Projected Soreness 		Body Part				x		x	
