SubAction,,,,,,,literal direction that the joint is moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub_action_id,sub_action_name,description,muscle_action,movement_system_priority,movement_system,hip_joint_priority,hip_joint_action,knee_joint_priority,knee_joint_action,ankle_joint_priority,ankle_joint_action,trunk_joint_priority,trunk_joint_action,shoulder_scapula_joint_priority,shoulder_scapula_joint_action,elbow_joint_priority,elbow_joint_action,wrist_joint_priority,wrist_joint_action,,body_position,eligible_external_resistance,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution
Strength Component Actions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supine Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100_a,crunch:positive,sit up isolating only the abs (no hip flexors),concentric,,,,,,,,,1,Trunk Flexion,,,,,,,,supine,,,TRUE,TRUE,TRUE,,double_arm,bilateral,2,1,,1,59.26,"50,50"
1100_b,crunch:negative,,eccentric,,,,,,,,,1,Trunk Extension,,,,,,,,supine,,,FALSE,TRUE,TRUE,,double_arm,bilateral,2,1,,1,59.26,"50,50"
1100.1_a,situp:positive,sit up using the hip flexors,concentric,,,1,hip flexion,,,,,2,Trunk Flexion,,,,,,,,supine,,,TRUE,TRUE,TRUE,double_leg,double_arm,bilateral,2,1,,1,59.26,"50,50"
1100.1_b,situp:negative,,eccentric,,,1,hip extension,,,,,2,Trunk Extension,,,,,,,,supine,,,FALSE,TRUE,TRUE,double_leg,double_arm,bilateral,2,1,,1,59.26,"50,50"
1100.1_c,situp:stance,,isometric,1,Core Stabilizers (Bracing),,,,,,,,,,,,,,,,supine,,,FALSE,TRUE,TRUE,double_leg,double_arm,bilateral,2,1,,1,59.26,"50,50"
1101_a,straight leg raise:positive,"supine on back, straight leg raise
Lay on your back, with straight legs, lift feet to above hips",concentric,,,1,hip flexion,,,,,,,,,,,,,,supine,,,TRUE,FALSE,FALSE,double_leg,,bilateral,,,2,1,40.74,"50,50"
1101_b,straight leg raise:negative,,eccentric,,,1,hip extension,,,,,,,,,,,,,,supine,,,FALSE,FALSE,FALSE,double_leg,,bilateral,,,2,1,40.74,"50,50"
1101_a,bent leg raise:positive,"supine on back, bent leg raise (knees to chest)
Lay on your back, from straight leg feet lifted about 6 inches from the floor, bend knees as bring knees to chest",concentric,,,1,hip flexion,,,,,,,,,,,,,,supine,,,TRUE,FALSE,FALSE,double_leg,,bilateral,,,1.26,1,25.6662,"50,50"
1101_b,bent leg raise:negative,,eccentric,,,1,hip extension,,,,,,,,,,,,,,supine,,,FALSE,FALSE,FALSE,double_leg,,bilateral,,,1.26,1,25.6662,"50,50"
1102_a,rotational situp:positive,using the hip flexors,concentric,,,1,hip flexion,,,,,2,Trunk Flexion with Rotation,,,,,,,,supine,,,TRUE,TRUE,TRUE,double_leg,double_arm,unilateral_alternating,2,1,,1,59.26,"100,100"
1102_b,rotational situp:negative,,eccentric,,,1,hip extension,,,,,2,Trunk Extension w/ Rotation,,,,,,,,supine,,,FALSE,TRUE,TRUE,double_leg,double_arm,unilateral_alternating,2,1,,1,59.26,"100,100"
1103_a,glute bridge: positive,,concentric,,,1,hip extension,,,,,,,,,,,,,,supine,,,TRUE,TRUE,TRUE,double_leg,,bilateral,0,1,0,1,49.83,"50,50"
1103_b,glute bridge: negative,,eccentric,,,1,hip flexion,,,,,,,,,,,,,,supine,,,FALSE,TRUE,TRUE,double_leg,,bilateral,0,1,0,1,49.83,"50,50"
1103_c,glute bridge: stance,,isometric,1,Intrinsic Stabilization Subsystem (ISS) (Drawing In),,,,,,,,,,,,,,,,supine,,,FALSE,TRUE,FALSE,double_leg,,bilateral,0,1,0,1,49.83,"50,50"
Prone Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201_a,mountain climber: knee to chest: leg,,concentric,,,3,hip flexion,3,knee flexion,,,,,,,,,,,,prone,,,TRUE,FALSE,FALSE,alternating_single_leg,,unilateral_alternating,,,1,1,20.37,"100,100"
1201_b,mountain climber: extend legs: leg,,concentric,,,2,hip extension,2,knee extension,2,ankle plantar flexion,,,,,,,,,,prone,,,TRUE,FALSE,TRUE,alternating_single_leg,,unilateral_alternating,,,1,1,20.37,"100,100"
1201_c,mountain climber: stabilizing,,isometric,1,Core Stabilizers (Bracing),,,,,,,2,Trunk Extension,1,Shoulder Flexion,,,,,,prone,,,FALSE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
1210_a,Walk feet back to plank,"Starting with hands on the floor, and feet outside of hands. Walk feet back to plank position
arms stabilize",isometric,,,,,,,,,2,Trunk Flexion,2,Shoulder Flexion,,,,,,prone,,,FALSE,TRUE,FALSE,,double_arm,bilateral,2,1,2,1,100,"50,50"
1210_b,,leg extension,concentric,,,1,hip extension,1,knee extension,,,,,,,,,,,,prone,,,TRUE,FALSE,FALSE,alternating_single_leg,,unilateral_alternating,2,1,2,1,100,"100,100"
1210.1_a,Plank to walk feet to outside of hands,"Starting in plank position, walk the feet forward, so hands on the floor and feet outside of hands.
arms stabilize",isometric,,,,,,,,,2,Trunk Extension,2,Shoulder Extension,,,,,,prone,,,FALSE,TRUE,FALSE,,double_arm,bilateral,2,1,2,1,100,"50,50"
1210.1_b,,feet to hands,concentric,,,1,hip flexion,1,knee flexion,,,,,,,,,,,,prone,,,TRUE,FALSE,FALSE,alternating_single_leg,,unilateral_alternating,2,1,2,1,100,"100,100"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220_a,Leg Extension: positive,,concentric,,,1,hip extension,3,knee extension,,,,,,,,,,,,quadruped,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1220_b,Leg Extension: negative,,eccentric,,,1,hip flexion,3,knee flexion,,,,,,,,,,,,quadruped,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1220.1_a,Leg Side Raise: positive,combined extension and abduction to raise leg at a 45degree angle back and away from the mid line,concentric,,,1,hip extension,3,knee extension,,,,,,,,,,,,side_lying,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1220.1_a,,,concentric,,,1,hip abduction,3,knee extension,,,,,,,,,,,,side_lying,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1220.1_b,Leg Side Raise: negative,,eccentric,,,1,hip flexion,3,knee flexion,,,,,,,,,,,,side_lying,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1220.1_b,,,eccentric,,,1,hip adduction,3,knee flexion,,,,,,,,,,,,side_lying,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
1220.2_a,Leg Flexion: positive,,concentric,,,1,hip flexion,3,knee flexion,,,,,,,,,,,,quadruped,,,TRUE,FALSE,TRUE,single_leg,,unilateral,,,1,1,20.37,"100,0"
