Define categories for actions to align with adaptation types and similar functional movements,,Define candidate action's applicability to movement,,,,,,,,How to Apply Weight,,,,,,,,,,,,,,Primary Joint Actions: selecting muscles to apply primary load type - dependent on adaptation type power/maxstrength/endstrength,,,,,,,,,,,,
id,component_actions,compound_action_name,action_name,Rep_Conversion,example,example_urls,Categorization,categorization,,training_type,eligible_external_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,percent_bodyweight,lateral_distribution,apply_resistance,relative_explosiveness,apply_instability,,muscle_action,hip_joint_priority,hip_joint_action,knee_joint_priority,knee_joint_action,ankle_joint_priority,ankle_joint_action,trunk_joint_priority,trunk_joint_action,shoulder_scapula_joint_priority,shoulder_scapula_joint_action,elbow_joint_priority,elbow_joint_action
,,Cardio - Gait Types,,,,,cardio_action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bipedal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_a,,ruck,Propulsion,,,,ruck,,,strength_cardiorespiratory,"ruck, sandbag",single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,concentric,1,hip extension,2,knee extension,3,ankle plantar flexion,,,,,,
0_b,,,Loading,,,,ruck,,,strength_cardiorespiratory,"ruck, sandbag",single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,eccentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,
0_c,,,Swing,,,,ruck,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,0,0,1,20.37,"100, 0",FALSE,no_speed,FALSE,,concentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,
1_a,,run,Propulsion,,,,run,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,concentric,1,hip extension,2,knee extension,3,ankle plantar flexion,,,,,,
1_b,,,Loading,,,,run,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,eccentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,
1_c,,,Swing,,,,run,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,0,0,1,20.37,"100, 0",FALSE,no_speed,TRUE,,concentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,
2_a,,sprint,Propulsion,,,,sprint,,,strength_cardiorespiratory,sled,single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,low_force,TRUE,,concentric,1,hip extension,2,knee extension,3,ankle plantar flexion,,,,,,
2_b,,,Loading,,,,sprint,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,eccentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,
2_c,,,Swing,,,,sprint,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,0,0,1,20.37,"100, 0",FALSE,no_speed,FALSE,,concentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,
,,Cycling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_a,,Cycling not clipped in,power phase,,,,cycle,,,strength_cardiorespiratory,"machine resistence, elevation, wind",single_leg,,unilateral_alternating,0,0,1,20.37,"100, 0",TRUE,no_speed,TRUE,,concentric,1,hip extension,2,knee extension,3,ankle plantar flexion,,,,,,
