section,movement,activity,duration,pace,incline,distance,reps,equipment,stroke_rate,intensity,weight
dynamic warmup,section,,300,,,,,,,,
dynamic warmup,,cobra swing,60,,,,,,,,
dynamic warmup,,t-spine rotation,60,,,,,,,,
dynamic warmup,,dynamic ankle mobilization,60,,,,,,,,
dynamic warmup,,isometric hold bird dog,60,,,,,,,,
dynamic warmup,,bear plank w/alt shoulder tap,60,,,,,,,,
block1,section,,480,,,,,,,,
block1,57e2fd3a4c6a031dc777e913,4 point glide,,,,,16,band,,,
block1,57e2fd3a4c6a031dc777e913,upper cut,,,,,8,band,,,
block1,57e2fd3a4c6a031dc777e913,front raise,,,,,8,band,,,
block1,57e2fd3a4c6a031dc777e913,hip hinge low row to bicep curl,,,,,8,band,,,
block1,57e2fd3a4c6a031dc777e913,4 point glide,,,,,16,band,,,
block1,57e2fd3a4c6a031dc777e913,upper cut,,,,,8,band,,,
block1,57e2fd3a4c6a031dc777e913,front raise,,,,,8,band,,,
block1,57e2fd3a4c6a031dc777e913,hip hinge low row to bicep curl,,,,,8,band,,,
block2,section,,480,,,,,,,,
block2,59271bd3d8d39b000f703a5a,sumo squat oblique crunc,,,,,20,,,,
block2,57e2fd3a4c6a031dc777e913,standing weighted oblique crunch,,,,,30,,,,15
block2,59271bd3d8d39b000f703a5a,incline plank jack,,,,,20,,,,
block2,57e2fd3a4c6a031dc777e913,tuck jump,,,,,10,,,,
block2,59271bd3d8d39b000f703a5a,sumo squat oblique crunc,,,,,20,,,,
block2,57e2fd3a4c6a031dc777e913,standing weighted oblique crunch,,,,,30,,,,15
block2,59271bd3d8d39b000f703a5a,incline plank jack,,,,,20,,,,
block2,57e2fd3a4c6a031dc777e913,tuck jump,,,,,10,,,,
block3,section,,480,,,,,,,,
block3,57e2fd3a4c6a031dc777e936,hip hinge s/a low row,,,,,16,,,,15
block3,57e2fd3a4c6a031dc777e849,standing overhead tricep extension,,,,,12,,,,15
block3,57e2fd3a4c6a031dc777e936,hammer curl,,,,,12,,,,15
block3,57e2fd3a4c6a031dc777e936,hip hinge s/a low row,,,,,16,,,,15
block3,57e2fd3a4c6a031dc777e849,standing overhead tricep extension,,,,,12,,,,15
block3,57e2fd3a4c6a031dc777e936,hammer curl,,,,,12,,,,15
block4,section,,240,,,,,,,,
block4,5823768d473c06100052ed9a,high knees,20,,,,,,,,
block4,,rest,10,,,,,,,,
block4,5823768d473c06100052ed9a,high knees,20,,,,,,,,
block4,,rest,10,,,,,,,,
block4,5823768d473c06100052ed9a,high knees,20,,,,,,,,
block4,,rest,10,,,,,,,,
block4,5823768d473c06100052ed9a,high knees,20,,,,,,,,
block4,,rest,10,,,,,,,,
block4,5823768d473c06100052ed9a,high knees,20,,,,,,,,
block4,,rest,10,,,,,,,,
block4,5823768d473c06100052ed9a,high knees,20,,,,,,,,
block4,,rest,10,,,,,,,,
block4,5823768d473c06100052ed9a,high knees,20,,,,,,,,
block4,,rest,10,,,,,,,,
block4,5823768d473c06100052ed9a,high knees,20,,,,,,,,
block4,,rest,10,,,,,,,,
flexibility,section,,300,,,,,,,,
flexibility,,standing overhead side reach,40,,,,,,,,
flexibility,,standing cross body stretch,40,,,,,,,,
flexibility,,standing chest stretch,20,,,,,,,,
flexibility,,standing internal rotator stretch,20,,,,,,,,
flexibility,,standing quad stretch,40,,,,,,,,
flexibility,,kneeling reverse forearm stretch,20,,,,,,,,
flexibility,,child's pose,20,,,,,,,,
