base_movement_id,base_movement_name,instruction,compound_actions,description,primary_actions,typical_training_type,typical_bilateral_distribution_of_resistance,,typical_surface_stability,typical_eligible_external_weight_implement,,typical_resistance,typical_speed,typical_rest_between_reps,typical_rep_tempo,,involvement,plane,body_position,upper_body_symmetry
,"Sit Up, with Hip Flexors",,101,sit up,,strength_core,bilateral,,stable,no_equipment,,none,mod,0.5,1/0/1,,single_joint,single_plane,supine,
,"Obliques, with Hip Flexors",,102,rotational sit up,,strength_core,unilateral_alternating,,stable,no_equipment,,none,mod,0.5,1/0/1,,single_joint,single_plane_rotation,supine,
,Glute Bridge,,110,Glute Bridge,,strength_core,bilateral,,stable,no_equipment,,none,mod,0.5,1/0/1,,single_joint,single_plane,supine,
,Single Leg Glute Bridge,,111,Single Leg Glute Bridge,,strength_core,unilateral,,stable,no_equipment,,none,mod,0.5,1/0/1,,single_joint,single_plane_rotation,supine,
,Glute Bridge March,,112,Glute Bridge March,,strength_core,unilateral_alternating,,stable,no_equipment,,none,mod,0.5,1/0/1,,single_joint,single_plane_rotation,supine,
,2pt Crab,,120,2pt Crab alternating hold,,strength_core,unilateral_alternating,,stable,no_equipment,,none,mod,0.5,1/0/1,,total_body,single_plane_rotation,supine,alternating_arms
,Plank,,210,Plank,,strength_core,bilateral,,stable,no_equipment,,none,none,0,hold,,total_body,single_plane,prone,double_arm
,"Plank, 3 pt contact, raised arm",,211,"Plank, 3 pt contact, raised arm",,strength_core,unilateral_alternating,,stable,no_equipment,,none,none,0,hold,,total_body,single_plane_rotation,prone,single_arm
,Push Up,,200,Push Up,,strength_action_bw,bilateral,,stable,no_equipment,,none,mod,0.5,1/0/1,,total_body,single_plane,prone,double_arm
,Handstand,,201,Handstand,,strength_action_bw,bilateral,,stable,no_equipment,,none,none,0,hold,,total_body,multiplane,prone,double_arm
,Side Plank,,300,Side Plank,,strength_core,unilateral,,stable,no_equipment,,none,none,0,hold,,total_body,single_plane_rotation,prone,double_arm
,Lateral Leg Raise,,310,Lateral Leg Raise,,strength_core,unilateral,,stable,no_equipment,,none,mod,0.5,1/0/1,,single_joint,single_plane,side_lying,
,Bird Dogs,,400,Bird Dogs,,strength_core,unilateral_alternating,,stable,no_equipment,,none,mod,0.5,1/0/1,,multijoint,single_plane_rotation,quadruped,alternating_arms
,Bear Crawl,,"410, 411","Forward Bear Crawl, Backward Bear Crawl",,strength_action_bw,unilateral_alternating,,stable,no_equipment,,none,,0.5,1/0/1,,total_body,single_plane_rotation,quadruped,alternating_arms
,Iso Squat Hold,,500,Iso Squat Hold,,strength_action_bw,bilateral,,stable,no_equipment,,none,none,0,hold,,multijoint,single_plane,double_leg_standing,
,Squat,,501,Squat,,strength_action_bw,bilateral,,stable,no_equipment,,none,mod,0.5,1/0/1,,multijoint,single_plane,double_leg_standing,
,Lunge,,510,Lunge,,strength_action_bw,unilateral_alternating,,stable,no_equipment,,none,mod,0.5,1/0/1,,multijoint,single_plane,double_leg_moving,
,Lateral Lunge,,511,Lateral Lunge,,strength_action_bw,unilateral_alternating,,stable,no_equipment,,none,mod,0.5,1/0/1,,multijoint,multiplane,double_leg_moving,
,Step Up,,610,Step Up,,strength_action_bw,unilateral_alternating,,stable,no_equipment,,none,mod,0.5,1/1/1,,multijoint,multiplane,single_leg_moving,
,Lateral Step Up,,611,Lateral Step Up,,strength_action_bw,unilateral_alternating,,stable,no_equipment,,none,mod,0.5,1/1/1,,multijoint,multiplane,single_leg_moving,
,SL RDL,,600,SL RDL,,strength_action_bw,unilateral,,stable,no_equipment,,none,mod,0.5,2/1/2,,multijoint,single_plane,single_leg_standing,
,Monster Walk,,520,Monster Walk,,strength_action_bw,unilateral_alternating,,stable,no_equipment,,none,fast,0,1/0/1,,multijoint,multiplane,single_leg_moving,
,Lateral Monster Walk,,521,Lateral Monster Walk,,strength_action_bw,unilateral_alternating,,stable,no_equipment,,none,mod,0,1/0/1,,multijoint,multiplane,single_leg_moving,
,Scapula Retraction,,220,Scapula Retraction,,strength_action_bw,bilateral,,stable,no_equipment,,none,mod,0.5,1/0/1,,single_joint,single_plane,,double_arm
,Standing YTW,,700,Standing YTW,,strength_action_bw,bilateral,,stable,no_equipment,,none,mod,0.5,1/0/1,,single_joint,single_plane,,double_arm
,Pull Up,,800,Pull Up,,strength_action_bw,bilateral,,stable,no_equipment,,none,mod,0.5,1/1/1,,single_joint,single_plane,,double_arm
,Assisted Pull Up,,800.1,Assisted Pull Up,,strength_action_bw,bilateral,,stable,no_equipment,,none,mod,0.5,1/2/1,,single_joint,single_plane,,double_arm
,Dips,,801,Dips,,strength_action_bw,bilateral,,stable,no_equipment,,none,mod,0.5,1/1/1,,single_joint,single_plane,,double_arm
,Suspension Row,,130,Suspension Row,,strength_action_bw,bilateral,,stable,no_equipment,,none,mod,0.5,1/0/1,,single_joint,single_plane,,double_arm
,Punch,,710,Punch,,strength_action_bw,unilateral_alternating,,stable,no_equipment,,none,fast,0,.5/0/.5,,single_joint,single_plane,,alternating_arms
