base_movement_id,base_movement_name,instruction,compound_actions,description,primary_actions,typical_training_type,typical_bilateral_distribution_of_resistance,,typical_surface_stability,typical_eligible_external_weight_implement,,typical_resistance,typical_speed,typical_rest_between_reps,typical_rep_tempo,,involvement,plane,body_position,upper_body_symmetry
,Tricep Extension,,900,Tricep Extension,,strength_action_bw,bilateral,,,single_dumbbell,,mod,mod,,,,,,,
,Chest Press,,901,Chest Press,,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Overhead Press,,902,Overhead Press,,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Iso Overhead Hold,,903,Iso Overhead Hold,,strength_action_bw,bilateral,,,single_dumbbell,,mod,mod,,,,,,,
,Bicep Curl,,904,Bicep Curl,,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Hammer Bicep Curl,,904.1,Hammer Bicep Curl,,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Reverse Bicep Curl,,904.2,Reverse Bicep Curl,,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Bicep Curl To Overhead Press,,"904, 902","Bicep Curl, Overhead Press",,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Row,,905,Standing Bent Over Row,,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Single Arm Row,,905.1,Single Arm Bent Over Row,,strength_action_bw,unilateral,,,single_dumbbell,,mod,mod,,,,,,,
,Bent Over Fly,,906,Bent Over Fly,,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Single Arm Bent Over Fly,,906.1,Single Arm Bent Over Fly,,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Seated Reverse Fly,,907,Seated Reverse Fly,,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Front Raise,,908,Front Raise,,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Lateral Raise,,909,Lateral Raise,,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,Halos,,910,Halos,,strength_action_bw,bilateral,,,single_dumbbell,,mod,mod,,,,,,,
,Pull Over,,802,Pull Over,,strength_action_bw,bilateral,,,single_dumbbell,,mod,mod,,,,,,,
,Squat and Press,,"501, 902","Squat, Overhead Press",,strength_action_bw,bilateral,,,dumbbells,,mod,mod,,,,,,,
,DL Deadlift,,1000,DL Deadlift,,strength_action_bw,bilateral,,,dumbbells,,high,mod,,,,,,,
