section,movement,activity,duration,pace,incline,distance,reps,equipment,stroke_rate
warmup,5823768d473c06100052ed9a,walk,60,,1,,,,
warmup,5823768d473c06100052ed9a,run,240,base,0,,,,
warmup,58459d9ddc2ce90011f93d84,row,180,,,,,,24
tread1,5823768d473c06100052ed9a,run,60,push,0,,,,
tread1,5823768d473c06100052ed9a,run,90,base,0,,,,
tread1,5823768d473c06100052ed9a,run,60,all_out,0,,,,
tread1,5823768d473c06100052ed9a,walk,60,,,,,,
tread1,5823768d473c06100052ed9a,run,60,push,0,,,,
tread1,5823768d473c06100052ed9a,run,60,all_out,0,,,,
tread1,5823768d473c06100052ed9a,walk,90,,,,,,
tread1,5823768d473c06100052ed9a,run,45,push,0,,,,
tread1,5823768d473c06100052ed9a,run,90,base,0,,,,
tread1,5823768d473c06100052ed9a,run,45,all_out,0,,,,
tread1,5823768d473c06100052ed9a,walk,60,,,,,,
tread1,5823768d473c06100052ed9a,run,45,push,0,,,,
tread1,5823768d473c06100052ed9a,run,45,all_out,0,,,,
tread1,5823768d473c06100052ed9a,walk,120,,,,,,
tread1,5823768d473c06100052ed9a,run,30,push,0,,,,
tread1,5823768d473c06100052ed9a,run,90,base,0,,,,
tread1,5823768d473c06100052ed9a,run,30,all_out,0,,,,
tread1,5823768d473c06100052ed9a,walk,60,,,,,,
tread3,5823768d473c06100052ed9a,run,30,push,0,,,,
tread3,5823768d473c06100052ed9a,run,30,all_out,0,,,,
tread1,5823768d473c06100052ed9a,walk,120,,,,,,
tread3,5823768d473c06100052ed9a,run,30,push,0,,,,
tread3,5823768d473c06100052ed9a,run,30,all_out,0,,,,
rest,,rest,90,,,,,,
rest,,rest,120,,,,,,
floor1,Standing Double Arm Bicep Curl,Bicep Curl,,,,,8,dumbbell,24
floor1,Plank with Single Arm Row,Alternating Plank Low Row,,,,,8,dumbbell,
floor1,Standing Lateral Raise,Lateral Raise,,,,,8,dumbbell,
floor1,ISO Sumo Squat with a Front Raise,ISO Sumo Squat with a Front Raise,,,,,8,dumbbell,
floor1,Squat with Dumbbells at Side,Squat with Dumbbells at Sides,,,,,8,dumbbell,24
floor1,Toe Reach,Toe Reach,,,,,8,dumbbell,
floor1,Double Crunch,Double Crunch,,,,,8,bodyweight,
rest,,rest,180,,,,,,
flexibility,,standing chest stretch,40,,,,,,
flexibility,,Standing Static Tricep Stretch,40,,,,,,
flexibility,,Seated Shoulder Stretch,40,,,,,,
flexibility,,Seated Body Twist,40,,,,,,
