section,movement,movement_alt_variation,movement_alt_challenge,activity,duration_value,duration_min,duration_max,pace,incline,distance,reps,equipment,weight,stroke_rate,pw_incline_min,pw_incline_max,pw_distance,jog_distance,run_distance,bike_distance,strider_distance
warmup,5823768d473c06100052ed9a,,,walk,60,,,,1,,,,,,1,3,,,,,
warmup,5823768d473c06100052ed9a,,,run,240,,,base,0,,,,,,,,,,,,
warmup,58459d9ddc2ce90011f93d84,,,row,180,,,,,,,,,24,,,,,,,
tread1,5823768d473c06100052ed9a,,,run,90,,,base,6,,,,,,8,,,,,,
tread1,5823768d473c06100052ed9a,,,run,60,,,base,0,,,,,,1,3,,,,,
tread1,5823768d473c06100052ed9a,,,run,90,,,base,6,,,,,,8,,,,,,
tread1,5823768d473c06100052ed9a,,,run,60,,,base,0,,,,,,1,3,,,,,
tread1,5823768d473c06100052ed9a,,,run,60,,,push,0,,,,,,6,,,,,,
tread1,5823768d473c06100052ed9a,,,run,30,,,all_out,6,,,,,,10,,,,,,
recovery1,5823768d473c06100052ed9a,,,walk,60,,,,,,,,,,,,,,,,
recovery1,5823768d473c06100052ed9a,,,run,30,,,base,0,,,,,,,,,,,,
tread2,5823768d473c06100052ed9a,,,run,90,,,base,7,,,,,,9,,,,,,
tread2,5823768d473c06100052ed9a,,,run,75,,,base,0,,,,,,1,3,,,,,
tread2,5823768d473c06100052ed9a,,,run,90,,,base,7,,,,,,9,,,,,,
tread2,5823768d473c06100052ed9a,,,run,75,,,base,0,,,,,,1,3,,,,,
tread2,5823768d473c06100052ed9a,,,run,60,,,push,0,,,,,,6,,,,,,
tread2,5823768d473c06100052ed9a,,,run,30,,,all_out,7,,,,,,10,,,,,,
recovery2,5823768d473c06100052ed9a,,,walk,60,,,,,,,,,,,,,,,,
recovery2,5823768d473c06100052ed9a,,,run,30,,,base,0,,,,,,,,,,,,
tread3,5823768d473c06100052ed9a,,,run,90,,,base,6,,,,,,8,,,,,,
tread3,5823768d473c06100052ed9a,,,run,60,,,base,0,,,,,,1,3,,,,,
tread3,5823768d473c06100052ed9a,,,run,90,,,base,6,,,,,,8,,,,,,
tread3,5823768d473c06100052ed9a,,,run,60,,,base,0,,,,,,1,3,,,,,
tread3,5823768d473c06100052ed9a,,,run,60,,,push,0,,,,,,6,,,,,,
tread3,5823768d473c06100052ed9a,,,run,30,,,all_out,6,,,,,,10,,,,,,
rest,,,,rest,90,,,,,,,,,,,,,,,,
rest,,,,rest,120,,,,,,,,,,,,,,,,
floor1,58459d9ddc2ce90011f93d84,,,row,,15,30,,,100,,,,24,,,,,,,
floor1,Plank with Single Arm Row,Plank from Knees with Single Arm Row,,plank_alt_leg_lift,,,,,,,10,bodyweight,,,,,,,,,
floor1,5c9cefebcc3ad8000f18e06b,,,squat,,,,,,,10,dumbbell,,,,,,,,,
floor1,59271bd3d8d39b000f703a5a,,,plank_alt_leg_lift,,,,,,,10,bodyweight,,,,,,,,,
floor1,5c9cefebcc3ad8000f18e06b,,,squat,,,,,,,8,dumbbell,,,,,,,,,
floor1,59271bd3d8d39b000f703a5a,,,plank_alt_leg_lift,,,,,,,10,bodyweight,,,,,,,,,
floor1,5c9cefebcc3ad8000f18e06b,,,squat,,,,,,,6,dumbbell,,,,,,,,,
rest,,,,rest,90,,,,,,,,,,,,,,,,
floor2,58459d9ddc2ce90011f93d84,,,row,,15,30,,,100,,,,22,,,,,,,
floor2,59271bd3d8d39b000f703a5a,,,hamstring curl,,,,,,,10,strap,,,,,,,,,
floor2,5c9cefebcc3ad8000f18e06b,,,static lunge,,,,,,,12,dumbbell,,,,,,,,,
floor2,59271bd3d8d39b000f703a5a,,,hamstring curl,,,,,,,10,strap,,,,,,,,,
floor2,5c9cefebcc3ad8000f18e06b,,,static lunge,,,,,,,12,dumbbell,,,,,,,,,
floor2,59271bd3d8d39b000f703a5a,,,hamstring curl,,,,,,,10,strap,,,,,,,,,
floor2,5c9cefebcc3ad8000f18e06b,,,static lunge,,,,,,,12,dumbbell,,,,,,,,,
rest,,,,rest,90,,,,,,,,,,,,,,,,
floor3,58459d9ddc2ce90011f93d84,,,row,,15,30,,,100,,,,20,,,,,,,
floor3,59271bd3d8d39b000f703a5a,,,hip bridge,,,,,,,10,dumbbell,,,,,,,,,
floor3,5c9cefebcc3ad8000f18e06b,,,front squat,,,,,,,6,dumbbell,,,,,,,,,
floor3,59271bd3d8d39b000f703a5a,,,hip bridge,,,,,,,10,dumbbell,,,,,,,,,
floor3,5c9cefebcc3ad8000f18e06b,,,front squat,,,,,,,8,dumbbell,,,,,,,,,
floor3,59271bd3d8d39b000f703a5a,,,hip bridge,,,,,,,10,dumbbell,,,,,,,,,
floor3,5c9cefebcc3ad8000f18e06b,,,front squat,,,,,,,10,dumbbell,,,,,,,,,
floor3,59271bd3d8d39b000f703a5a,,,rollout,,,,,,,10,strap,,,,,,,,,
rest,,,,rest,90,,,,,,,,,,,,,,,,
flexibility,,,,standing overhead reach,40,,,,,,,,,,,,,,,,
flexibility,,,,standing outside hamstring stretch,40,,,,,,,,,,,,,,,,
flexibility,,,,wid eleg forward reach,40,,,,,,,,,,,,,,,,
flexibility,,,,piriformis stretch,40,,,,,,,,,,,,,,,,
