,,,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,,quantity of stabilization intensity,,,quantity of power intensity,,,movement characterization to select action,,,,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,youtube_link,,,primary_actions,secondary_actions,bilateral_distribution_of_resistance,,surface_stability,external_weight_implement,,resistance,speed,,training_type,strength_resistance_action,strength_endurance_action,power_drill_action,power_action,cardio_action,,equipment,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
Max Sprint,100 Meter Sprint,,https://www.youtube.com/watch?v=F1WWJGyowqE,,,"2_a, 2_b, 2_c",,bilateral,,stable,,,mod_resistance,max_speed,,strength_cardiorespiratory,,,,,run,,,Time,['basic_functional_movement: sprint'],stamina,0,1,0,1,524,58459de6dc2ce90011f93d86,#N/A,
400m to 1600m Race pace,400 Meter Sprint,,https://youtu.be/rFlJPm9wd1o,,,"1_a, 1_b, 1_c",,bilateral,,stable,,,mod_resistance,speed,,strength_cardiorespiratory,,,,,run,,,Meters,['basic_functional_movement: sprint'],warm-up / movement prep; endurance,0,0,0,0,525,58459df8dc2ce90011f93d87,#N/A,
Row,2k Row,,https://youtu.be/VN5H3g-3WLo,,,"200_a, 200_b",,bilateral,,stable,rower,,mod_resistance,speed,,strength_cardiorespiratory,,,,,row,,rower,Kilometers; Calories,['equipment: rower'],stamina 3; endurance 1; stamina 1; stamina; endurance,0,1,0,1,522,58459d9ddc2ce90011f93d84,#N/A,
Freestyle Swim,500 Meter Swim,,https://youtu.be/GXiBQuO7R9k,,,"300_a, 300_b, 303_a, 303_b, 303_c, 303_d",,bilateral,,stable,,,low_resistance,no_speed,,strength_cardiorespiratory,,,,,swim,,,Minutes; Meters,['equipment: swimming'],swim cool down; double pst; endurance - swim; stamina- swimming; stamina 2; swimming; endurance; cool down; triathlon - sprint distance; down regulation breathing; stamina- swim; triathlon ssp; cool down/swim; stamina; olympic distance ssp; bud/s pst; triathlon - olympic; triathlon - olympic distance; conditioning; blood flow / transition practice session; swim development; buds pst; olympic distance,0,1,0,1,521,58459d78dc2ce90011f93d83,#N/A,
Indoor Cycle,Airdyne,DUPLICATE,https://youtu.be/QrM8bNaYHq4,,,"100_a, 100_b",,bilateral,,stable,airbike,,mod_resistance,speed,,strength_cardiorespiratory,,,,,cycle,,airbike,Seconds; Meters; Minutes; Miles; Calories; Reps; Time,['equipment: airbike'],skill prep; stamina option 3 - bike; mixed modal 1; triathlon - half ironman distance; mix modal; option 3 - bike; bike base phase; sprint distance; endurance day; bike- 50 mile race; endurance option 2 - bike; half ironman distance; bonus work; stamina option 3; triathlon base phase; cycling / mtb ssp; stamina 3; endurance; cool down; soflete rx'd; conditioning 4; soflete performance; triathlon - sprint distance; weapons development; conditioning 2; soflete fitness; stamina 1; optional endurance day; gymnastics; endurance - bike; stamina prep; bike - 100 mile race; stamina; olympic distance ssp; stamina prep 1; endurance 2 - bike; stamina option 1 - bike; triathlon; strength & stamina; conditioning 3; stamina option 1; olympic distance; bike- 100 mile race; airdyne; triathlon - olympic distance; conditioning; mixed modal 2; warm-up; stamina option 1 - airdyne; bike - 50 mile race; spring ssp; half ironman ssp; stamina 2,1,1,0,2,223,57e2fd3a4c6a031dc777e90c,#N/A,
Ruck,Ruck,,,,,"0_a, 0_b, 0_c",,bilateral,,unstable,ruck,,low_resistance,no_speed,,strength_cardiorespiratory,,,,,ruck,,ruck,Meters; Kilometers; Minutes; Miles; Hours; Reps; Time,['equipment: ruck'],ruck run; ruck race; cardio; ruck or swim; ruck; ultra running ssp; spec ops tri; swimming; stamina 3; endurance; new blank section #3; ruck - 8-12 miles; ruck - 40-50k; stamina- run; stamina 1; stamina; ruck ssp; triathlon; ruck base ssp; stamina option 1; back packing base phase; conditioning; rack packing base phase; ruck base phase; warm-up; swim and ruck; stamina- running; ruck - 50 miler; ruck based ssp; skill development; stamina 2,0,1,0,1,613,5873d05eb06dc50011d08796,Weight (Actual),
Ski Erg,Ski Erg,,https://www.youtube.com/watch?v=IvqnHWRhZg4,,,"201_a, 201_b",,bilateral,,stable,ski_erg,,mod_resistance,speed,,strength_cardiorespiratory,,,,,ski_erg,,ski_erg,Time; Calories; Meters; Feet,['equipment: skiErg'],conditioning 2; stamina; stamina option 3 - skierg,0,1,0,1,1102,5a4d2a085a0778000fd6a22e,Weight (Actual),
Run,Run,,https://youtu.be/KdKr1IzeZcQ?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,"1_a, 1_b, 1_c, 1_d, 1_e",,bilateral,,stable,,,mod_resistance,speed,,strength_cardiorespiratory,,,,,run,,,Seconds; Meters; Kilometers; Minutes; Miles; Yards; Hours; Reps; Time,"['equipment: running', 'basic_functional_movement: run']",run - 50k/50 mile; run- 10k; weight circuit; ultra running ssp; run development; sprint ssp; sports specific warm-up; recovery work; stamina - run; endurance; crawls and carries; cool down; run warm-up; endurance option 3; run repeats; run - marathon; 50k base phase; lunges+swim or run; ultra running ssp- 50 mile race; stamina 1; half ironman; triathlon base; stamina prep; endurance option 3- run; endurance prep; bud/s pst; triathlon; endurance 2; triathlon - olympic; run- 50 mile; run- marathon to 50k; marathon ssp; half marathon base phase; brick session; ultra running ssp- 50k race; marathon base phase; run- 5k; squat pyramid; prehab/dynamic warm up (jog 200); run- half marathon; triathlon - sprint; warm-up/mobility 2; endurance 1; run - 5k; conditioning 1; half ironman ssp; warm-up / movement prep; bonus work- conditioning; run; olympic distance; half marathon; skill prep; stamina option 1 - run; run/pt; test 5; weight vest pyramid; recovery protocol; sprint triathlon; half ironman distance; marathon/half marathon ssp; test; stamina 3; trx circuit; endurance option 3 - run; down regulation breathing; pst prep; weight vest workout; run- marathon/50k; warm-up/mobility; triathlon ssp; 50 miler ssp; devils quarter mile; cyclic work; soflete rx'd/performance; 50 mile base phase; dynamic warm-up; triathlon - olympic distance; endruance; run - 10k; run- 50k to 50 mile; run - 20k race; run- 5k and 10k; run - marathon to 50k; optional am session; stamina/strength 3; marathon; cardio; mix modal; sprint distance; bonus work; spec ops tri; mixed model; swimming; run base; warm-up/movement prep; soflete rx'd; prehab/dynamic warm-up; triathlon - sprint distance; upper body pt/run; conditioning 2; optional stamina; bike skill development; reverse pyramid; warm-up/dynamic stretches; warm up/movement prep; stamina; olympic distance ssp; recovery; accessory work; run- 50k to 10 miler; run - 50k; stamina option 2; triathlon - half ironman; olympic ssp; run - 40k-50k; half marathon ssp; run- marathon; conditioning; soflete performance/fitness; blood flow / transition practice session; run - 50 mile; run- half-marathon; swim and ruck; spring ssp; buds pst; skill development; mixed modal; hill/stair run; strongman; stamina 2; 50k ssp; prehab/dynamic warm up; triathlon - half ironman distance; double pst; run - half marathon; o course simulation; run- 50k - 50 mile; push-up pyramid; endurance day; stamina accessory; triathlon base phase; cardio/abs; sprint distance ssp; accessory stamina; warm-up 1isd; easy cardio day; speed runs; stamina option 2 - run; soflete performance; endurance 3 - run; stamina 4; run - half-marathon; pyramid push-ups; stamina- run; soflete fitness; optional endurance day; strength; running base phase; ruck base ssp; sand-baby murph; strength & stamina; running; conditioning 3; stamina option 1; run 50 miler; run-5k; endurance - run; run development day; run - 5k and 10k; warm-up; cardio 3; stamina- running; burpee pyramid; aerobic work; run - 50 miler,1,1,0,2,468,5823768d473c06100052ed9a,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
