,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,,primary_actions,secondary_actions,,training_type,cardio_action,external_weight,,surface_stability,external weight implement,,explosiveness,,youtube_link,equipment,body_position,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
,10/20/10,"sprint, lunge/cut, sprint, lunge/cut, sprint",,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/Uqk3GPQmiNU,,,Reps; Meters,[],stamina 3; carbine; swim development; soflete rx'd; run repeats; soflete performance; swim repeats; heart rate elevation; pistol - concealed carry; soflete fitness; stamina - swim; pistol - outside the waistband (owb); stamina 1; stamina; stamina 2,0,1,0,1,213,57e2fd3a4c6a031dc777e902,#N/A,
,100 Meter Sprint,,,2,,,strength_cardiorespiratory,run,,,stable,,,speed - low force,,https://www.youtube.com/watch?v=F1WWJGyowqE,,,Time,['basic_functional_movement: sprint'],stamina,0,1,0,1,524,58459de6dc2ce90011f93d86,#N/A,
,100 Up Drill,"alternating high knee, then hold for balance",,,,,strength_endurance,,,,,,,,,https://youtu.be/r1EBrxUCiGs?t=33,,,Reps,[],skill prep; warm-up/movement prep; stamina; endurance,0,1,0,1,1925,5d3f84d4c80618001184ef9e,#N/A,
,2 Inch Board Close Grip Bench Press,,,,,,power_action_olympic_lift,,,,,,,,,https://youtu.be/X2NUmQ_mFIc,barbells,,Reps,['basic_exercise: bench press'],powerlifting 1; strength; strength 1; strength 2,1,0,0,1,1346,5b7d066ea0139b000f7b66e9,Weight (Actual),
,2-Step Broad Jump,"bound, bound, landing of a broad jump",,"2004, 2003b",,,power_action_plyometrics,,,,stable,,,speed - mod force,,https://youtu.be/I1xMNnw91ik,no_equipment,non_stationary_double_leg,Reps,"['basic_exercise: broad jumps', 'basic_functional_movement: step', 'basic_functional_movement: jump']",plyometrics,0,0,1,1,1864,5d079baf60e5d3000f2a888f,#N/A,
,2-Step Lateral Shuffle,"5yards cones, lateral shuffle with change of direction",,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/sd7ZkWe4_lg,,,Reps,"['movement direction - plane: frontal', 'movement direction - axis: lateral', 'basic_functional_movement: step']",stamina 1,0,1,0,1,1718,5c7ed2c6429bf4000f04b97b,#N/A,
Skip to Overhead Medicine Ball Throw,2-Step Overhead Med-Ball Throws,skipping to overhead throw with staggered legs,,2151,"2005, 1103a",,power_action_plyometrics,,,,stable,medicine_balls,,speed - mod force,,https://youtu.be/KTiN0pGTi78,medicine_balls,,Reps; Feet,"['equipment: medicine-slam balls', 'basic_functional_movement: step']",plyometrics,0,0,1,1,1839,5cf5bc00cc3ad8000f2db379,Weight (Actual),
,"2"" Runs",quick feet running in place,,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/pG2wDw89344,,,Seconds,['basic_functional_movement: run'],prehab/dynamic warm-up; warm-up/movement prep; prehab/dynamic warm up,0,0,0,0,677,588a1c5a65dcf3000f912414,#N/A,
,20-40-20,,,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/ZyhoeUc3CRo,,,Reps,[],gun work - pistol: outside the waistband; heart rate elevation; stamina 1; gun work - pistol: concealed carry; gun work - carbine; stamina,0,1,0,1,214,57e2fd3a4c6a031dc777e903,#N/A,
