,,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,
movement_id,fathom_name,description,youtube_link,,surface_stability,external_weight_implement,,resistance,speed,,base_movement_id,base_movement_name,compound_actions,primary_actions,bilateral_distribution_of_resistance,,training_type,strength_resistance_action,strength_endurance_action
,Dumbbell Bench Press,,,,stable,dumbbells,,mod,mod,,,Supine Chest Press,"1003, 2400","1003, 2400_a, 2400_b",bilateral,,strength_integrated_resistance,,supine
,Incline Bench Press,,https://www.youtube.com/watch?v=DbFgADa2PL8,,stable,barbells,,mod,mod,,,Incline Chest Press,"1003, 2401","1003, 2401_a, 2401_b, 2401_c, 2401_d",bilateral,,strength_integrated_resistance,,supine
,Bent Over Row,,https://youtube.com/watch?v=gQBSRBgRLVI,,stable,barbells,,mod,mod,,,Bent Over Double Arm Row,"1000.1, 2402","1000.1, 2402_a, 2402_b",bilateral,,strength_integrated_resistance,,double_leg
,Dips,,https://youtu.be/2i3o0bFZT_s,,stable,dip_belt,,mod,mod,,,Dips,2403,"2403_a, 2403_b, 2403_c, 2403_d, 2403_e, 2403_f, 2403_g ",bilateral,,strength_integrated_resistance,,double_leg
,Clean and Jerk,,https://www.youtube.com/watch?v=q9HbsciMSJU,,stable,barbells,,high,explosive,,,Clean and Jerk,,"2405_a, 2405_b,2405_c,2405_d,2405_e,2405_f,2405_g,2405_g,2405_i,2405_j,2405_k",bilateral,,strength_integrated_resistance,olympic_lift,
,Lunge with Dumbbells at Sides,,https://youtu.be/qYGzE8Uou7E,,stable,dumbbells,,mod,mod,,,Lunge with Weight at Sides,"2001, 2300","2001_a, 2001_b, 2300",bilateral,,strength_integrated_resistance,,staggered_leg
,,,,,,,,,,,,,,,,,,,
,May 18 Instudio OTF Workout,,,,,,,,,,,,,,,,,,
,Bicep Curl,,,,stable,dumbbells,,mod,mod,,,Standing Double Arm Bicep Curl,"2404, 1000","1000, 2404_a, 2404_b, 2404_c",bilateral,,strength_integrated_resistance,,
,Alternating Plank Low Row,,https://www.facebook.com/watch/?v=393989801554750,,stable,dumbbells,,mod,mod,,,Plank with Single Arm Row,"2402.1, 1004, 1004.1","2402.1_a, 2402.1_b, 1004, 1004.1_a, 1004.1_b",unilateral_alternating,,strength_integrated_resistance,,
,"Alternating Plank Low Row Variation, On Knees",,https://www.facebook.com/watch/?v=393989801554750,,stable,dumbbells,,mod,mod,,,Plank from Knees with Single Arm Row,"2402.1, 1004.2, 1004.3","2402.1_a, 2402.1_b, 1004.2, 1004.3_a, 1004.3_b",unilateral_alternating,,strength_integrated_resistance,,
,Lateral Raise,"palms down and arms extended to hips, raise arms to shoulder height in frontal plane",,,stable,dumbbells,,mod,mod,,,Standing Lateral Raise,"1001, 2405","1001, 2405_a, 2405_b",bilateral,,strength_integrated_resistance,,
,"Lateral Raise Variation, Neutral Grip","palms facing each other and arms extended to hips, raise arms to shoulder height in frontal plane",,,stable,dumbbells,,mod,mod,,,Stranding Lateral Raise with Neutral Grip,"1001, 2405.1","1001, 2405.1_a, 2405.1_b, 2405.1_c",bilateral,,strength_integrated_resistance,,
,ISO Sumo Squat with a Front Raise,"isometrically holding a sumo squat while performing an front raise - palms down and arms extended to hips, raise arms to shoulder height in sagital plane",,,stable,dumbbells,,mod,mod,,,ISO Sumo Squat with a Front Raise,"1002.1, 2406","1002, 1002.1_b, 2406_a, 2406_b",bilateral,,strength_integrated_resistance,,
,"ISO Sumo Squat with a Front Raise Variation, Neutral Grip","isometrically holding a sumo squat while performing an front raise - palms facing each other and arms extended to hips, raise arms to shoulder height in sagital plane",,,stable,dumbbells,,mod,mod,,,"ISO Sumo Squat with a Front Raise Variation, Neutral Grip","1002.1, 2406.1","1002, 1002.1_b, 2406.1_a, 2406.1_b, 2406.1_c",bilateral,,strength_integrated_resistance,,
,Squat with Dumbbells at Sides,,,,stable,dumbbells,,mod,mod,,,Squat with Dumbbells at Side,"2000, 2300","2000_a, 2000_b, 2300",bilateral,,strength_integrated_resistance,,
,Toe Reach,Lay on your back with legs straight in the air. Contract your abdominals and reach for your toes as you crunch up,https://www.youtube.com/watch?v=B3W05_n3EGg,,stable,no_equipment,,none,mod,,,Toe Reach,"1010, 1100","1010, 1100_a, 1100_b",bilateral,,strength_endurance,,
,"Toe Reach Variation, Knees bent","Lay on your back with legs in the air, bent at the knee (feet not contacting the ground). Contract your abdominals and reach for your toes as you crunch up",https://www.youtube.com/watch?v=B3W05_n3EGg,,stable,no_equipment,,none,mod,,,"Toe Reach, bent knees","1010.1, 1100","1010.1_a, 1010.1_b, 1100_a, 1100_b",bilateral,,strength_endurance,,
