section,movement,movement_alt_variation,movement_alt_challenge,activity,planned_start_time_run_first,planned_start_time_rower_first,duration_value,duration_min,duration_max,pace,incline,distance,reps,equipment,weight,stroke_rate,pw_incline_min,pw_incline_max,pw_distance,jog_distance,run_distance,bike_distance,strider_distance
warmup,5823768d473c06100052ed9a,,,walk,,,60,,,,1,,,,,,1,3,,,,,
warmup,5823768d473c06100052ed9a,,,run,,,240,,,base,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
tread1,5823768d473c06100052ed9a,,,run,,,30,,,push,1,,,,,,8,,,,,,
tread1,5823768d473c06100052ed9a,,,run,,,30,,,base,1,,,,,,1,3,,,,,
tread1,5823768d473c06100052ed9a,,,run,,,30,,,all_out,1,,,,,,8,,,,,,
recovery1,5823768d473c06100052ed9a,,,walk,,,60,,,,1,,,,,,,,,,,,
recovery1,5823768d473c06100052ed9a,,,run,,,60,,,base,1,,,,,,,,,,,,
tread2,5823768d473c06100052ed9a,,,run,,,60,,,base,3,,,,,,9,,,,,,
tread2,5823768d473c06100052ed9a,,,run,,,60,,,base,4,,,,,,1,3,,,,,
tread2,5823768d473c06100052ed9a,,,run,,,60,,,base,5,,,,,,9,,,,,,
tread2,5823768d473c06100052ed9a,,,run,,,60,,,base,1,,,,,,1,3,,,,,
tread2,5823768d473c06100052ed9a,,,run,,,30,,,base,5,,,,,,6,,,,,,
tread2,5823768d473c06100052ed9a,,,run,,,30,,,base,6,,,,,,10,,,,,,
tread2,5823768d473c06100052ed9a,,,run,,,30,,,all_out,7,,,,,,,,,,,,
recovery2,5823768d473c06100052ed9a,,,walk,,,60,,,,,,,,,,,,,,,,
recovery2,5823768d473c06100052ed9a,,,run,,,30,,,base,1,,,,,,,,,,,,
tread3,5823768d473c06100052ed9a,,,run,,,30,,,push,1,,,,,,8,,,,,,
tread3,5823768d473c06100052ed9a,,,run,,,30,,,base,1,,,,,,1,3,,,,,
tread3,5823768d473c06100052ed9a,,,run,,,30,,,all_out,1,,,,,,8,,,,,,
recovery3,5823768d473c06100052ed9a,,,walk,,,60,,,base,1,,,,,,,,,,,,
recovery3,5823768d473c06100052ed9a,,,run,,,60,,,base,1,,,,,,,,,,,,
tread4,5823768d473c06100052ed9a,,,run,,,60,,,base,7,,,,,,8,,,,,,
tread4,5823768d473c06100052ed9a,,,run,,,60,,,base,6,,,,,,1,3,,,,,
tread4,5823768d473c06100052ed9a,,,run,,,60,,,base,5,,,,,,8,,,,,,
tread4,5823768d473c06100052ed9a,,,run,,,60,,,base,1,,,,,,8,,,,,,
tread4,5823768d473c06100052ed9a,,,run,,,30,,,base,5,,,,,,1,3,,,,,
tread4,5823768d473c06100052ed9a,,,run,,,30,,,base,4,,,,,,8,,,,,,
tread4,5823768d473c06100052ed9a,,,run,,,30,,,all_out,3,,,,,,8,,,,,,
recovery4,5823768d473c06100052ed9a,,,walk,,,60,,,,1,,,,,,,,,,,,
recovery4,5823768d473c06100052ed9a,,,run,,,30,,,base,1,,,,,,,,,,,,
tread5,5823768d473c06100052ed9a,,,run,,,30,,,push,1,,,,,,8,,,,,,
tread5,5823768d473c06100052ed9a,,,run,,,30,,,base,1,,,,,,1,3,,,,,
tread5,5823768d473c06100052ed9a,,,run,,,30,,,all_out,1,,,,,,8,,,,,,
rest1,section,,,transition,,,90,,,,,,,,,,,,,,,,
rest2,section,,,rest,,,120,,,,,,,,,,,,,,,,
warmup,58459d9ddc2ce90011f93d84,,,row,,,180,,,,,,,,,24,,,,,,,
row1,section,,,,1860,300,,,,,,,,,,,,,,,,,
row1,Frogger,,,frogger,,,30,,,,,,,,,,,,,,,,
row1,,,,transition,,,30,,,,,,,,,,,,,,,,
row1,58459d9ddc2ce90011f93d84,,,row,,,30,,,,,,,,,,,,,,,,
rest3,section,,,floor_demo,1950,390,120,,,,,,,,,,,,,,,,
floor1,section,,,,2070,510,330,,,,,,,,,,,,,,,,
floor1,Bench Sit-up to Jump Squat,,,bench sit-up to jump squat,,,,,,,,,6,bodyweight,,,,,,,,,
floor1,Standing Tricep Extension,,,tricep extension,,,,,,,,,12,dumbbell,,,,,,,,,
floor1,Decline Mountain Climber,,,decline mountain climber,,,,,,,,,12,bodyweight,,,,,,,,,
rest4,section,,,,2400,840,90,,,,,,,,,,,,,,,,
row2,section,,,,2490,930,90,,,,,,,,,,,,,,,,
row2,Frogger,,,frogger,,,30,,,,,,,,,,,,,,,,
row2,,,,transition,,,30,,,,,,,,,,,,,,,,
row2,58459d9ddc2ce90011f93d84,,,row,,,30,,,,,,,,,,,,,,,,
rest5,section,,,rest,2580,1020,120,,,,,,,,,,,,,,,,
floor2,section,,,,2700,1140,330,,,,,,,,,,,,,,,,
floor2,Single Arm Hang Snatch,,,single arm snatch,,,,,,,,,6,dumbbell,,,,,,,,,
floor2,"Seated, Single Arm Alternating Hammer Curl",,,seated hammer curl,,,,,,,,,12,dumbbell,,,,,,,,,
floor2,Double Crunch,,,double crunch,,,,,,,,,12,dumbbell,,,,,,,,,
rest6,section,,,,3030,1470,90,,,,,,,,,,,,,,,,
row3,section,,,,3120,1560,,,,,,,,,,,,,,,,,
row3,Frogger,,,frogger,,,30,,,,,,,,,,,,,,,,
row3,,,,transition,,,30,,,,,,,,,,,,,,,,
row3,58459d9ddc2ce90011f93d84,,,row,,,30,,,,,,,,,,,,,,,,
rest7,section,,,rest,3210,1650,90,,,,,,,,,,,,,,,,
