percent_hrmax,rpe,age,max_hr,hr,percent_ftp,weight,female,watts,activity
0.649,2.55,24.0,191.2,124.0,,,,,
0.735,3.82,21.0,193.3,142.0,,,,,
0.531,1.0,39.0,180.7,96.0,,,,,
0.759,4.24,26.0,189.8,144.0,,,,,
0.778,4.63,20.0,194.0,151.0,,,,,
0.805,5.17,22.0,192.6,155.0,,,,,
0.948,8.13,38.0,181.4,172.0,,,,,
0.555,1.3,37.0,182.1,101.0,,,,,
0.57,1.48,39.0,180.7,103.0,,,,,
0.5329999999999999,1.02,24.0,191.2,102.0,,,,,
0.5479999999999999,1.21,34.0,184.2,101.0,,,,,
0.711,3.47,32.0,185.6,132.0,,,,,
0.5720000000000001,1.51,35.0,183.5,105.0,,,,,
0.8420000000000001,5.92,24.0,191.2,161.0,,,,,
0.9640000000000001,8.84,23.0,191.9,185.0,,,,,
0.9229999999999999,7.56,31.0,186.3,172.0,,,,,
0.79,4.87,26.0,189.8,150.0,,,,,
0.907,7.23,34.0,184.2,167.0,,,,,
0.501,0.63,32.0,185.6,93.0,,,,,
0.8370000000000001,5.82,24.0,191.2,160.0,,,,,
0.746,3.99,31.0,186.3,139.0,,,,,
0.79,4.87,26.0,189.8,150.0,,,,,
0.8909999999999999,6.91,39.0,180.7,161.0,,,,,
0.815,5.37,29.0,187.7,153.0,,,,,
0.826,5.6,36.0,182.8,151.0,,,,,
0.759,4.24,28.0,188.4,143.0,,,,,
0.863,6.34,24.0,191.2,165.0,,,,,
0.68,3.01,26.0,189.8,129.0,,,,,
0.7979999999999999,5.03,25.0,190.5,152.0,,,,,
0.5529999999999999,1.27,36.0,182.8,101.0,,,,,
0.9009999999999999,7.11,34.0,184.2,166.0,,,,,
0.695,3.23,28.0,188.4,131.0,,,,,
0.711,3.47,28.0,188.4,134.0,,,,,
0.6,1.85,21.0,193.3,116.0,,,,,
0.696,3.24,20.0,194.0,135.0,,,,,
0.573,1.52,38.0,181.4,104.0,,,,,
0.574,1.53,31.0,186.3,107.0,,,,,
0.655,2.64,29.0,187.7,123.0,,,,,
0.985,9.78,23.0,191.9,189.0,,,,,
0.975,9.33,26.0,189.8,185.0,,,,,
0.988,9.91,37.0,182.1,180.0,,,,,
0.693,3.2,21.0,193.3,134.0,,,,,
0.872,6.53,30.0,187.0,163.0,,,,,
0.623,2.16,38.0,181.4,113.0,,,,,
0.593,1.77,25.0,190.5,113.0,,,,,
0.649,2.55,22.0,192.6,125.0,,,,,
0.9640000000000001,8.84,23.0,191.9,185.0,,,,,
0.5770000000000001,1.57,20.0,194.0,112.0,,,,,
0.9059999999999999,7.21,29.0,187.7,170.0,,,,,
0.785,4.77,37.0,182.1,143.0,,,,,
0.73,3.75,35.0,183.5,134.0,,,,,
0.852,6.12,22.0,192.6,164.0,,,,,
0.945,8.0,37.0,182.1,172.0,,,,,
0.9740000000000001,9.29,23.0,191.9,187.0,,,,,
0.919,7.47,33.0,184.9,170.0,,,,,
0.976,9.38,25.0,190.5,186.0,,,,,
0.6859999999999999,3.1,20.0,194.0,133.0,,,,,
0.64,2.41,27.0,189.1,121.0,,,,,
0.879,6.67,21.0,193.3,170.0,,,,,
0.695,3.23,30.0,187.0,130.0,,,,,
0.852,6.12,29.0,187.7,160.0,,,,,
0.741,3.91,29.0,187.7,139.0,,,,,
0.836,5.8,27.0,189.1,158.0,,,,,
0.752,4.1,35.0,183.5,138.0,,,,,
0.972,9.2,31.0,186.3,181.0,,,,,
0.763,4.32,33.0,184.9,141.0,,,,,
0.9259999999999999,7.62,38.0,181.4,168.0,,,,,
0.55,1.23,27.0,189.1,104.0,,,,,
0.605,1.91,35.0,183.5,111.0,,,,,
0.912,7.33,23.0,191.9,175.0,,,,,
0.93,7.7,33.0,184.9,172.0,,,,,
0.701,3.32,30.0,187.0,131.0,,,,,
0.8740000000000001,6.57,34.0,184.2,161.0,,,,,
0.562,1.38,20.0,194.0,109.0,,,,,
0.902,7.13,39.0,180.7,163.0,,,,,
0.846,6.0,27.0,189.1,160.0,,,,,
0.633,2.31,24.0,191.2,121.0,,,,,
0.976,9.38,22.0,192.6,188.0,,,,,
0.518,0.84,35.0,183.5,95.0,,,,,
0.785,4.77,37.0,182.1,143.0,,,,,
0.624,2.18,36.0,182.8,114.0,,,,,
0.698,3.27,27.0,189.1,132.0,,,,,
0.9059999999999999,7.21,37.0,182.1,165.0,,,,,
0.833,5.74,28.0,188.4,157.0,,,,,
0.9359999999999999,7.82,30.0,187.0,175.0,,,,,
0.595,1.79,33.0,184.9,110.0,,,,,
0.9520000000000001,8.31,39.0,180.7,172.0,,,,,
0.627,2.22,35.0,183.5,115.0,,,,,
0.835,5.78,37.0,182.1,152.0,,,,,
0.9209999999999999,7.52,32.0,185.6,171.0,,,,,
0.675,2.93,37.0,182.1,123.0,,,,,
0.8590000000000001,6.26,31.0,186.3,160.0,,,,,
0.8,5.07,24.0,191.2,153.0,,,,,
0.777,4.61,38.0,181.4,141.0,,,,,
0.9540000000000001,8.4,38.0,181.4,173.0,,,,,
0.679,2.99,28.0,188.4,128.0,,,,,
0.7859999999999999,4.79,28.0,188.4,148.0,,,,,
0.909,7.27,33.0,184.9,168.0,,,,,
0.968,9.02,33.0,184.9,179.0,,,,,
0.81,5.27,36.0,182.8,148.0,,,,,
0.706,3.39,38.0,181.4,128.0,,,,,
0.622,2.15,26.0,189.8,118.0,,,,,
0.8420000000000001,5.92,29.0,187.7,158.0,,,,,
0.6559999999999999,2.65,25.0,190.5,125.0,,,,,
0.973,9.24,27.0,189.1,184.0,,,,,
0.6709999999999999,2.87,29.0,187.7,126.0,,,,,
0.6559999999999999,2.65,38.0,181.4,119.0,,,,,
0.8809999999999999,6.71,28.0,188.4,166.0,,,,,
0.8079999999999999,5.23,25.0,190.5,154.0,,,,,
0.619,2.1,25.0,190.5,118.0,,,,,
