name,description,training_type_original,training_type,equipment,action,body_position,explosiveness,youtube_link,tags,sections,strength,endurance,power,stability,number of training types assigned,metrics,,id
10/20/10,"sprint, lunge/cut, sprint, lunge/cut, sprint",speed_agility_quickness,,,,,,https://youtu.be/Uqk3GPQmiNU,[],stamina 3; carbine; swim development; soflete rx'd; run repeats; soflete performance; swim repeats; heart rate elevation; pistol - concealed carry; soflete fitness; stamina - swim; pistol - outside the waistband (owb); stamina 1; stamina; stamina 2,0,1,0,,1,Reps; Meters,213,57e2fd3a4c6a031dc777e902
100 Meter Sprint,,cardiorespiratory,,,sprint,,,https://www.youtube.com/watch?v=F1WWJGyowqE,['basic_functional_movement: sprint'],stamina,0,1,0,,1,Time,524,58459de6dc2ce90011f93d86
100 Up Drill,"alternating high knee, then hold for balance",balance,,,,,,https://youtu.be/r1EBrxUCiGs?t=33,[],skill prep; warm-up/movement prep; stamina; endurance,0,1,0,,1,Reps,1925,5d3f84d4c80618001184ef9e
2 Inch Board Close Grip Bench Press,,,,,,,,https://youtu.be/X2NUmQ_mFIc,['basic_exercise: bench press'],powerlifting 1; strength; strength 1; strength 2,1,0,0,,1,Reps,1346,5b7d066ea0139b000f7b66e9
2-Step Broad Jump,"bound, bound, jump with 2 legged landing",plyometrics,,,,,,https://youtu.be/I1xMNnw91ik,"['basic_exercise: broad jumps', 'basic_functional_movement: step', 'basic_functional_movement: jump']",plyometrics,0,0,1,,1,Reps,1864,5d079baf60e5d3000f2a888f
2-Step Lateral Shuffle,,,,,,,,https://youtu.be/sd7ZkWe4_lg,"['movement direction - plane: frontal', 'movement direction - axis: lateral', 'basic_functional_movement: step']",stamina 1,0,1,0,,1,Reps,1718,5c7ed2c6429bf4000f04b97b
2-Step Overhead Med-Ball Throws,,plyometrics,,,,,,https://youtu.be/KTiN0pGTi78,"['equipment: medicine-slam balls', 'basic_functional_movement: step']",plyometrics,0,0,1,,1,Reps; Feet,1839,5cf5bc00cc3ad8000f2db379
"2"" Runs",quick feet running in place,speed_agility_quickness,,,,,,https://youtu.be/pG2wDw89344,['basic_functional_movement: run'],prehab/dynamic warm-up; warm-up/movement prep; prehab/dynamic warm up,0,0,0,,0,Seconds,677,588a1c5a65dcf3000f912414
20-40-20,,speed_agility_quickness,,,,,,https://youtu.be/ZyhoeUc3CRo,[],gun work - pistol: outside the waistband; heart rate elevation; stamina 1; gun work - pistol: concealed carry; gun work - carbine; stamina,0,1,0,,1,Reps,214,57e2fd3a4c6a031dc777e903
27 Squat Routine,,,,,,,,https://youtu.be/wXkh8ofejc0,['basic_functional_movement: squat'],mobility work; assisted work; recovery protocol; neuro adaptation,0,0,0,,0,Reps,1097,5a465706b0d8ca000f2f5360
2k Row,,cardiorespiratory,,rower,row,,,https://youtu.be/VN5H3g-3WLo,['equipment: rower'],stamina 3; endurance 1; stamina 1; stamina; endurance,0,1,0,,1,Kilometers; Calories,522,58459d9ddc2ce90011f93d84
3 Cone Drill,,speed_agility_quickness,,,,,,https://youtu.be/rLtvdHEwnus?t=22,[],accessory work; speed work; stamina; plyometrics,0,1,1,,2,Reps,210,57e2fd3a4c6a031dc777e8fe
